marker,source_bjd_tdb,cycles,propagated_bjd_tdb,schedule_bjd_tdb,schedule_minus_propagated_seconds,absolute_offset_seconds
ingress,2459502.6093,96,2459782.6821000003,2459782.682400599,25.971736013889313,25.971736013889313
midpoint,2459502.6441,96,2459782.7169000003,2459782.716775796,-10.73126345872879,10.73126345872879
egress,2459502.679,96,2459782.7518,2459782.7511509927,-56.074248254299164,56.074248254299164
