Image,Frame,BJD_TDB,Relative_Brightness,Flux_Error,Used_in_Plot,Notes
TOI_3505.01_50.000s_R-0051_aligned.fits,51,2459782.6360830753,1.0046814303,0.0016388620,True,
TOI_3505.01_50.000s_R-0052_aligned.fits,52,2459782.6368365102,0.9970598845,0.0016837753,True,
TOI_3505.01_50.000s_R-0053_aligned.fits,53,2459782.6375896996,0.9960984247,0.0016079516,True,
TOI_3505.01_50.000s_R-0054_aligned.fits,54,2459782.6383427386,0.9992444588,0.0015715708,True,
TOI_3505.01_50.000s_R-0055_aligned.fits,55,2459782.6390960058,0.9983565229,0.0016354866,True,
TOI_3505.01_50.000s_R-0056_aligned.fits,56,2459782.6398489238,1.0033201940,0.0016283420,True,
TOI_3505.01_50.000s_R-0057_aligned.fits,57,2459782.6406018622,0.9934965873,0.0015541576,True,
TOI_3505.01_50.000s_R-0058_aligned.fits,58,2459782.6413543285,1.0036440180,0.0015210546,True,
TOI_3505.01_50.000s_R-0059_aligned.fits,59,2459782.6421075361,0.9984045045,0.0015830769,True,
TOI_3505.01_50.000s_R-0060_aligned.fits,60,2459782.6428602245,1.0004607399,0.0015532466,True,
TOI_3505.01_50.000s_R-0061_aligned.fits,61,2459782.6436133380,1.0014294405,0.0015411868,True,
TOI_3505.01_50.000s_R-0062_aligned.fits,62,2459782.6443660157,0.9951315662,0.0015478717,True,
TOI_3505.01_50.000s_R-0063_aligned.fits,63,2459782.6451192242,0.9983158648,0.0015590503,True,
TOI_3505.01_50.000s_R-0064_aligned.fits,64,2459782.6458724118,0.9990755803,0.0015517001,True,
TOI_3505.01_50.000s_R-0065_aligned.fits,65,2459782.6466247500,1.0009656742,0.0015258028,True,
TOI_3505.01_50.000s_R-0066_aligned.fits,66,2459782.6473772163,0.9981598056,0.0015244905,True,
TOI_3505.01_50.000s_R-0067_aligned.fits,67,2459782.6481302613,1.0003015756,0.0014971616,True,
TOI_3505.01_50.000s_R-0068_aligned.fits,68,2459782.6488823988,1.0002653420,0.0015701911,True,
TOI_3505.01_50.000s_R-0069_aligned.fits,69,2459782.6496356763,1.0030463354,0.0015518904,True,
TOI_3505.01_50.000s_R-0070_aligned.fits,70,2459782.6503884499,1.0015110124,0.0015475509,True,
TOI_3505.01_50.000s_R-0071_aligned.fits,71,2459782.6511416794,1.0023560802,0.0015157974,True,
TOI_3505.01_50.000s_R-0072_aligned.fits,72,2459782.6518941256,1.0010935713,0.0014898067,True,
TOI_3505.01_50.000s_R-0073_aligned.fits,73,2459782.6526460862,0.9988254275,0.0014944777,True,
TOI_3505.01_50.000s_R-0074_aligned.fits,74,2459782.6533985650,1.0010517980,0.0014758929,True,
TOI_3505.01_50.000s_R-0075_aligned.fits,75,2459782.6541513731,1.0003658035,0.0014821119,True,
TOI_3505.01_50.000s_R-0076_aligned.fits,76,2459782.6549045029,0.9997840809,0.0014597969,True,
TOI_3505.01_50.000s_R-0077_aligned.fits,77,2459782.6556575838,0.9980049035,0.0014758891,True,
TOI_3505.01_50.000s_R-0078_aligned.fits,78,2459782.6564107756,1.0019325953,0.0014859668,True,
TOI_3505.01_50.000s_R-0079_aligned.fits,79,2459782.6571634738,1.0015048602,0.0014918761,True,
TOI_3505.01_50.000s_R-0080_aligned.fits,80,2459782.6579167228,0.9996884302,0.0014825644,True,
TOI_3505.01_50.000s_R-0081_aligned.fits,81,2459782.6586697218,1.0024920252,0.0014833890,True,
TOI_3505.01_50.000s_R-0082_aligned.fits,82,2459782.6594229331,1.0010278679,0.0015108381,True,
TOI_3505.01_50.000s_R-0083_aligned.fits,83,2459782.6601752411,0.9991766546,0.0015599801,True,
TOI_3505.01_50.000s_R-0084_aligned.fits,84,2459782.6609284044,0.9950013638,0.0015939105,True,
TOI_3505.01_50.000s_R-0085_aligned.fits,85,2459782.6616811780,1.0003251315,0.0015232502,True,
TOI_3505.01_50.000s_R-0086_aligned.fits,86,2459782.6624343651,1.0012305732,0.0014755360,True,
TOI_3505.01_50.000s_R-0087_aligned.fits,87,2459782.6631872556,1.0023109423,0.0014904123,True,
TOI_3505.01_50.000s_R-0088_aligned.fits,88,2459782.6639406304,0.9993360459,0.0015177324,True,
TOI_3505.01_50.000s_R-0089_aligned.fits,89,2459782.6646927330,0.9972723397,0.0015147680,True,
TOI_3505.01_50.000s_R-0090_aligned.fits,90,2459782.6654457957,0.9964331008,0.0015241916,True,
TOI_3505.01_50.000s_R-0091_aligned.fits,91,2459782.6661983095,0.9989002710,0.0015603764,True,
TOI_3505.01_50.000s_R-0092_aligned.fits,92,2459782.6669506375,0.9990910909,0.0016527848,True,
TOI_3505.01_50.000s_R-0093_aligned.fits,93,2459782.6677036607,1.0009325685,0.0017006888,True,
TOI_3505.01_50.000s_R-0094_aligned.fits,94,2459782.6684568319,1.0032217413,0.0017016121,True,
TOI_3505.01_50.000s_R-0095_aligned.fits,95,2459782.6692095487,1.0019663287,0.0017809641,True,
TOI_3505.01_50.000s_R-0096_aligned.fits,96,2459782.6699625305,1.0029535745,0.0017557318,True,
TOI_3505.01_50.000s_R-0097_aligned.fits,97,2459782.6707157129,0.9991896705,0.0017073347,True,
TOI_3505.01_50.000s_R-0098_aligned.fits,98,2459782.6714689122,1.0017914938,0.0017090370,True,
TOI_3505.01_50.000s_R-0099_aligned.fits,99,2459782.6722215102,0.9996859427,0.0017350510,True,
TOI_3505.01_50.000s_R-0100_aligned.fits,100,2459782.6729745255,0.9978565870,0.0017586509,True,
TOI_3505.01_50.000s_R-0101_aligned.fits,101,2459782.6737270430,0.9982747548,0.0018160977,True,
TOI_3505.01_50.000s_R-0102_aligned.fits,102,2459782.6744800471,0.9996184143,0.0018164463,True,
TOI_3505.01_50.000s_R-0103_aligned.fits,103,2459782.6752329213,1.0010423977,0.0018353745,True,
TOI_3505.01_50.000s_R-0104_aligned.fits,104,2459782.6759856115,0.9955889033,0.0017563173,True,
TOI_3505.01_50.000s_R-0105_aligned.fits,105,2459782.6767384834,0.9969238276,0.0017017802,True,
TOI_3505.01_50.000s_R-0106_aligned.fits,106,2459782.6774914246,0.9994105840,0.0016659329,True,
TOI_3505.01_50.000s_R-0107_aligned.fits,107,2459782.6782447444,0.9978220823,0.0017579398,True,
TOI_3505.01_50.000s_R-0108_aligned.fits,108,2459782.6789978519,1.0006539092,0.0019101155,True,
TOI_3505.01_50.000s_R-0109_aligned.fits,109,2459782.6797503065,1.0023515999,0.0019602775,True,
TOI_3505.01_50.000s_R-0110_aligned.fits,110,2459782.6805032138,1.0052297041,0.0018723591,True,
TOI_3505.01_50.000s_R-0111_aligned.fits,111,2459782.6812559585,0.9965849792,0.0018414990,True,
TOI_3505.01_50.000s_R-0112_aligned.fits,112,2459782.6820092103,1.0004753903,0.0018722630,True,
TOI_3505.01_50.000s_R-0113_aligned.fits,113,2459782.6827624757,0.9986872433,0.0018237008,True,
TOI_3505.01_50.000s_R-0114_aligned.fits,114,2459782.6835151580,1.0000000000,0.0018176920,True,
TOI_3505.01_50.000s_R-0115_aligned.fits,115,2459782.6842677188,0.9993550515,0.0018206206,True,
TOI_3505.01_50.000s_R-0116_aligned.fits,116,2459782.6850199620,1.0016879351,0.0015941585,True,
TOI_3505.01_50.000s_R-0117_aligned.fits,117,2459782.6857723058,0.9979975951,0.0015015351,True,
TOI_3505.01_50.000s_R-0118_aligned.fits,118,2459782.6865251865,0.9992040317,0.0014570377,True,
TOI_3505.01_50.000s_R-0119_aligned.fits,119,2459782.6872787620,0.9995348246,0.0014563843,True,
TOI_3505.01_50.000s_R-0120_aligned.fits,120,2459782.6880318290,1.0010496564,0.0014678403,True,
TOI_3505.01_50.000s_R-0121_aligned.fits,121,2459782.6887850352,1.0017340270,0.0014801224,True,
TOI_3505.01_50.000s_R-0122_aligned.fits,122,2459782.6895380071,1.0007903019,0.0015184716,True,
TOI_3505.01_50.000s_R-0123_aligned.fits,123,2459782.6902910583,1.0006211353,0.0015188600,True,
TOI_3505.01_50.000s_R-0124_aligned.fits,124,2459782.6910441252,0.9993137092,0.0015098747,True,
TOI_3505.01_50.000s_R-0125_aligned.fits,125,2459782.6917973706,0.9992327815,0.0015149235,True,
TOI_3505.01_50.000s_R-0126_aligned.fits,126,2459782.6925499006,0.9988962480,0.0015082568,True,
TOI_3505.01_50.000s_R-0127_aligned.fits,127,2459782.6933032637,1.0027720621,0.0015144672,True,
TOI_3505.01_50.000s_R-0128_aligned.fits,128,2459782.6940560760,0.9999514577,0.0014776115,True,
TOI_3505.01_50.000s_R-0129_aligned.fits,129,2459782.6948093004,1.0157639036,0.0051591556,False,low comparison-star counts; unusual target brightness
TOI_3505.01_50.000s_R-0130_aligned.fits,130,2459782.6955639157,1.0241747096,0.0096698745,False,low comparison-star counts; unusual target brightness
TOI_3505.01_50.000s_R-0131_aligned.fits,131,2459782.6963179847,1.0008158627,0.0019587083,True,
TOI_3505.01_50.000s_R-0132_aligned.fits,132,2459782.6970712738,0.9948823812,0.0020927475,True,
TOI_3505.01_50.000s_R-0133_aligned.fits,133,2459782.6978248958,1.0025350706,0.0023799372,True,
TOI_3505.01_50.000s_R-0134_aligned.fits,134,2459782.6985779367,0.9944001393,0.0028707316,True,
TOI_3505.01_50.000s_R-0135_aligned.fits,135,2459782.6993383258,0.9982774265,0.0025963379,True,
TOI_3505.01_50.000s_R-0136_aligned.fits,136,2459782.7000936135,0.9945077505,0.0023008353,True,
TOI_3505.01_50.000s_R-0137_aligned.fits,137,2459782.7008470711,0.9951096214,0.0031209526,True,
TOI_3505.01_50.000s_R-0138_aligned.fits,138,2459782.7016101852,0.9926321023,0.0035795683,True,
TOI_3505.01_50.000s_R-0139_aligned.fits,139,2459782.7023696420,0.9884923665,0.0032881035,True,
TOI_3505.01_50.000s_R-0140_aligned.fits,140,2459782.7031324874,1.0019283600,0.0027543896,True,
TOI_3505.01_50.000s_R-0141_aligned.fits,141,2459782.7038899334,1.0036390631,0.0023078553,True,
TOI_3505.01_50.000s_R-0142_aligned.fits,142,2459782.7046428472,1.0000063703,0.0027571056,True,
TOI_3505.01_50.000s_R-0143_aligned.fits,143,2459782.7054009773,1.0001414416,0.0024885921,True,
TOI_3505.01_50.000s_R-0144_aligned.fits,144,2459782.7061556340,1.0006867639,0.0023097863,True,
TOI_3505.01_50.000s_R-0145_aligned.fits,145,2459782.7069090409,0.9959009797,0.0024571968,True,
TOI_3505.01_50.000s_R-0146_aligned.fits,146,2459782.7076630625,1.0079043997,0.0021582876,True,
TOI_3505.01_50.000s_R-0147_aligned.fits,147,2459782.7084165383,1.0034250074,0.0021636252,True,
TOI_3505.01_50.000s_R-0148_aligned.fits,148,2459782.7091704095,1.0015678099,0.0020053789,True,
TOI_3505.01_50.000s_R-0149_aligned.fits,149,2459782.7099231686,1.0032399902,0.0019576827,True,
TOI_3505.01_50.000s_R-0150_aligned.fits,150,2459782.7106763357,0.9975963821,0.0019528630,True,
TOI_3505.01_50.000s_R-0151_aligned.fits,151,2459782.7114293799,1.0002360541,0.0018497504,True,
TOI_3505.01_50.000s_R-0152_aligned.fits,152,2459782.7121820669,0.9984364351,0.0018602394,True,
TOI_3505.01_50.000s_R-0153_aligned.fits,153,2459782.7129347818,0.9995614873,0.0017184961,True,
TOI_3505.01_50.000s_R-0154_aligned.fits,154,2459782.7136881002,1.0016193794,0.0016321164,True,
TOI_3505.01_50.000s_R-0155_aligned.fits,155,2459782.7144411867,1.0010847527,0.0015711344,True,
TOI_3505.01_50.000s_R-0156_aligned.fits,156,2459782.7151942407,0.9996854360,0.0015694491,True,
