Image,Frame,BJD_TDB,Relative_Brightness,Flux_Error,Used_in_Plot,Notes
TOI_3505.01_50.000s_R-0247_aligned.fits,247,2459782.7837648145,0.9876485404,0.0022912021,True,
TOI_3505.01_50.000s_R-0248_aligned.fits,248,2459782.7845243327,0.9943867844,0.0019309931,True,
TOI_3505.01_50.000s_R-0249_aligned.fits,249,2459782.7852845681,0.9932784000,0.0017519378,True,
TOI_3505.01_50.000s_R-0250_aligned.fits,250,2459782.7860405776,0.9958196680,0.0019618337,True,
TOI_3505.01_50.000s_R-0251_aligned.fits,251,2459782.7868010262,0.9909077380,0.0022969696,True,
TOI_3505.01_50.000s_R-0252_aligned.fits,252,2459782.7875607163,0.9978284414,0.0023444597,True,
TOI_3505.01_50.000s_R-0253_aligned.fits,253,2459782.7883201572,0.9864578788,0.0024541902,False,field-wide vertical PSF trail confirmed in target and comparison stars
TOI_3505.01_50.000s_R-0254_aligned.fits,254,2459782.7890817099,0.9955976738,0.0019600956,True,
TOI_3505.01_50.000s_R-0255_aligned.fits,255,2459782.7898395183,0.9988378510,0.0021321083,True,
TOI_3505.01_50.000s_R-0256_aligned.fits,256,2459782.7905998630,1.0007357418,0.0017749885,True,
TOI_3505.01_50.000s_R-0257_aligned.fits,257,2459782.7913538311,1.0009852211,0.0017105409,True,
TOI_3505.01_50.000s_R-0258_aligned.fits,258,2459782.7921076119,0.9973062195,0.0017208233,True,
TOI_3505.01_50.000s_R-0259_aligned.fits,259,2459782.7928616721,0.9974070481,0.0017739647,True,
TOI_3505.01_50.000s_R-0260_aligned.fits,260,2459782.7936161715,1.0000541528,0.0020079034,True,
TOI_3505.01_50.000s_R-0261_aligned.fits,261,2459782.7943770611,0.9910984142,0.0024662346,True,
TOI_3505.01_50.000s_R-0262_aligned.fits,262,2459782.7951350249,0.9925315597,0.0026204054,True,
TOI_3505.01_50.000s_R-0263_aligned.fits,263,2459782.7958915341,0.9855522426,0.0033753531,True,
TOI_3505.01_50.000s_R-0264_aligned.fits,264,2459782.7966453354,0.9830878199,0.0032509158,True,
TOI_3505.01_50.000s_R-0265_aligned.fits,265,2459782.7973991074,0.9872872985,0.0032715867,True,
TOI_3505.01_50.000s_R-0266_aligned.fits,266,2459782.7981529119,0.9904000447,0.0056296557,False,low comparison-star counts
TOI_3505.01_50.000s_R-0267_aligned.fits,267,2459782.7989072786,0.9948679313,0.0041673602,False,low comparison-star counts
TOI_3505.01_50.000s_R-0268_aligned.fits,268,2459782.7996603507,1.0077522721,0.0046817537,False,low comparison-star counts
TOI_3505.01_50.000s_R-0269_aligned.fits,269,2459782.8004136644,0.9808886017,0.0042487483,False,low comparison-star counts; unusual target brightness
TOI_3505.01_50.000s_R-0270_aligned.fits,270,2459782.8011668329,0.9954029898,0.0067809558,False,low comparison-star counts
TOI_3505.01_50.000s_R-0271_aligned.fits,271,2459782.8019205416,0.9839686176,0.0049773862,False,low comparison-star counts; unusual target brightness
TOI_3505.01_50.000s_R-0272_aligned.fits,272,2459782.8026749203,0.9937004772,0.0037763651,True,
TOI_3505.01_50.000s_R-0273_aligned.fits,273,2459782.8034281861,0.9919640429,0.0042985664,False,low comparison-star counts
TOI_3505.01_50.000s_R-0274_aligned.fits,274,2459782.8041823604,0.9857245378,0.0039996969,True,
TOI_3505.01_50.000s_R-0275_aligned.fits,275,2459782.8049353827,0.9966861458,0.0047692909,False,low comparison-star counts
TOI_3505.01_50.000s_R-0276_aligned.fits,276,2459782.8056891970,0.9959819514,0.0057573380,False,low comparison-star counts
TOI_3505.01_50.000s_R-0277_aligned.fits,277,2459782.8064434510,0.9794839254,0.0055639608,False,low comparison-star counts; unusual target brightness
TOI_3505.01_50.000s_R-0278_aligned.fits,278,2459782.8071970316,0.9862396010,0.0035447623,True,
TOI_3505.01_50.000s_R-0279_aligned.fits,279,2459782.8079504250,0.9898190634,0.0039430881,True,
TOI_3505.01_50.000s_R-0280_aligned.fits,280,2459782.8087046882,0.9914402790,0.0037611163,True,
TOI_3505.01_50.000s_R-0281_aligned.fits,281,2459782.8094587056,0.9875036430,0.0044997351,False,low comparison-star counts
