Label	slice	Saturated	J.D.-2400000	JD_UTC	BJD_TDB	AIRMASS	Source_Radius	Sky/Pixel_T1	Width_T1	tot_C_cnts	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	rel_flux_T1	rel_flux_err_T1	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	rel_flux_C2	rel_flux_err_C2	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	rel_flux_C3	rel_flux_err_C3	X(FITS)_C4	Y(FITS)_C4	Source-Sky_C4	rel_flux_C4	rel_flux_err_C4	X(FITS)_C5	Y(FITS)_C5	Source-Sky_C5	rel_flux_C5	rel_flux_err_C5	X(FITS)_C6	Y(FITS)_C6	Source-Sky_C6	rel_flux_C6	rel_flux_err_C6	X(FITS)_C7	Y(FITS)_C7	Source-Sky_C7	rel_flux_C7	rel_flux_err_C7	X(FITS)_C8	Y(FITS)_C8	Source-Sky_C8	rel_flux_C8	rel_flux_err_C8	X(FITS)_C9	Y(FITS)_C9	Source-Sky_C9	rel_flux_C9	rel_flux_err_C9	X(FITS)_C10	Y(FITS)_C10	Source-Sky_C10	rel_flux_C10	rel_flux_err_C10	X(FITS)_C11	Y(FITS)_C11	Source-Sky_C11	rel_flux_C11	rel_flux_err_C11
TOI_3505.01_50.000s_R-0001_aligned.fits	1	0	59782.59294026624	2459782.5929402662	2459782.598234811	1.3202923982859234	25	849.1962257134434	24.82476943469218	4596506.491530705	1848.7697571312185	1743.278258404354	505953.1949151892	0.1100734211617961	0.0003464070459102	2718.551195896266	3167.0418374084065	500575.428372151	0.1222128548194205	0.0003957868922859	1697.488627465269	570.0435676901134	599111.72028183	0.1498755450902474	0.0004159501962948	656.9210771990656	3306.539170608856	448403.7295232944	0.1080985103913617	0.0003761314921567	3130.4405200752194	1842.8396978081923	491965.19912834023	0.1198587525575594	0.0003910097496561	2077.432940182852	3253.571559167597	377602.79022025294	0.0895025857316829	0.0003627153152664	3330.4582530314747	505.72492431951787	454254.1950535604	0.1096635749203131	0.0003781966973563	634.4050007315152	2370.5648743628003	620170.9979593267	0.1559654609028764	0.0004230316677418	2002.3494026171547	2780.5826067980174	357419.2931910078	0.0843151547651571	0.0003564535572455	2300.3450577257217	1052.7913444235646	383931.4476907539	0.0911393728764968	0.0003598051292424	2513.486889158599	1965.088550172417	363071.69011018774	0.085762910530324	0.0003579860599264
TOI_3505.01_50.000s_R-0002_aligned.fits	2	0	59782.593700694386	2459782.5937006944	2459782.599005828	1.3162138108445802	25	882.3570314693773	24.38314256276164	4397867.943592919	1844.759126206444	1741.4450998724155	480686.3308677953	0.1092998555284245	0.0003653182039557	2714.4657388738133	3165.402284084155	480814.1488905272	0.1227489266399157	0.0004185187445022	1693.5017742862342	568.0934054228828	568699.6438534867	0.1485177979490182	0.0004378000667306	652.9918298656423	3304.938965863688	432594.4736305219	0.1090957475966025	0.0003983460673521	3126.593293263078	1840.8523021893943	468304.7807577953	0.1191747686325317	0.0004121959275187	2073.4969843925205	3251.9969582480812	363873.6829669173	0.0902018345733717	0.00038417487147	3326.4652278084277	503.79485024629093	438027.28319974826	0.1106174012456998	0.0004005137508588	630.3476290428496	2368.705962880062	588380.2074779836	0.1544512670036935	0.0004446766398004	1998.3888433435336	2778.656817307159	349659.5457378514	0.0863738996053458	0.0003788969328874	2296.4269624178205	1050.8790506212515	364890.3328147216	0.0904766572072075	0.000379988703209	2509.726312660728	1963.109965454697	342623.8442633655	0.0844890802800282	0.0003775856404277
TOI_3505.01_50.000s_R-0003_aligned.fits	3	0	59782.59446156211	2459782.594461562	2459782.599766962	1.312234378705693	25	847.5794584047189	22.703779948412233	4841158.727305537	1850.2821395422031	1743.0062320409538	530454.640551043	0.109571834023769	0.0003302772022086	2719.9659880295767	3166.913783073008	524020.5747038307	0.1213814698952897	0.0003767834214093	1698.9860103828305	569.7002676896855	634800.6607377627	0.150914556177034	0.0003983756220895	658.3940124718104	3306.461965018819	474441.91398104257	0.1086495722675081	0.0003594372819503	3132.0071522936987	1842.5698112504524	514471.4397445279	0.1189065457130691	0.0003721231411139	2078.913268042177	3253.4225232211684	397166.24958827347	0.0893714945692898	0.0003455734335064	3331.782007354851	505.4016363481596	480041.2567792093	0.1100729939111855	0.000361100962953	635.9704843934913	2370.3585558021405	651330.3141956008	0.1554551284624434	0.0004035722942081	2003.8543781667715	2780.3993060959247	379787.42071676906	0.0851279560963421	0.0003403021226439	2301.8609712581897	1052.348496231497	402583.4410671317	0.0907010504734082	0.0003425265785392	2514.9318862249725	1964.7879540197912	382515.4557913898	0.0857918950895321	0.0003410785586864
TOI_3505.01_50.000s_R-0004_aligned.fits	4	0	59782.595222557895	2459782.595222558	2459782.6005278192	1.3083024089164847	25	844.2619796431662	21.41975704192174	4847446.162319079	1848.0226796877555	1745.1369189789111	524056.6240398344	0.1081098389732541	0.0003284549103706	2717.711095088915	3169.0535935297457	529250.5370434984	0.1225628903761678	0.0003762065057146	1696.6808860113892	572.186825306544	631874.7751437374	0.1498906594408611	0.0003965259470353	656.363736579273	3308.5255086019697	476598.1775172497	0.109040208942169	0.0003588596603449	3129.691892675003	1844.9045744392124	519101.21169478307	0.1199306473066364	0.0003716281449946	2076.7677291393834	3255.498452650412	398703.57625271054	0.0896216332006858	0.0003443134906292	3329.29338181991	507.7810063583729	484863.3043380808	0.1111413399177191	0.0003608270936701	633.748844666876	2372.428214685434	646282.3288784837	0.1538341170449435	0.0004010269280171	2001.59751130197	2782.4891677188352	378858.8245501423	0.0847826831866954	0.0003386696529914	2299.5699221005866	1054.8225607393488	401569.1265162288	0.0903239390748719	0.0003412699337397	2512.7988016620193	1966.9104359446835	380344.3003841643	0.0851434133672114	0.0003392891556798
TOI_3505.01_50.000s_R-0005_aligned.fits	5	0	59782.595983564854	2459782.595983565	2459782.6012884346	1.304417148919055	25	743.2407354332374	21.112712116264237	5960401.979112505	1847.1035657283371	1745.2067650556328	647715.96103166	0.1086698453059879	0.0002620335816219	2716.6159486309357	3168.8050176483425	647732.4955923087	0.1219222271593524	0.0002992254562455	1695.800275360264	572.1447774649932	780540.3057059415	0.1506874806547904	0.0003185182779598	655.1086724084247	3308.452751096932	577222.6949028389	0.1072270984167276	0.0002844390101409	3128.6866627438512	1844.6863794167737	640250.9981295208	0.1203445166158093	0.0002960593938719	2075.5278433996978	3255.463166710427	490879.2818175228	0.0897481021626061	0.0002724408368004	3328.4869035905776	507.8030342023071	599731.5130304319	0.1118762133999919	0.0002872879767949	632.6847089413469	2372.6384509988443	795622.1856161933	0.1540476491598095	0.0003221211001168	2000.6283194560692	2782.400456025968	462143.9835267819	0.084052800704844	0.00026710411966	2298.7231588812424	1054.8392469770697	498517.3376603036	0.0912720371054483	0.0002705100312632	2511.794489111662	1967.0075485723987	467761.183130661	0.0851614370036455	0.00026802949606
TOI_3505.01_50.000s_R-0006_aligned.fits	6	0	59782.5967431711	2459782.596743171	2459782.602048698	1.3005786035097426	25	692.0437567323453	21.807478501011452	6485265.3166475715	1844.6342962151357	1744.014794258354	705952.0204125764	0.1088547632122943	0.0002382660075824	2714.0885429737923	3167.7981170041667	703882.215082942	0.121749796323383	0.0002717092825844	1693.4240225506492	571.2453439510418	850960.8009107967	0.151032092520743	0.0002903578897119	652.8471110631895	3307.559603684224	632500.1331501224	0.1080685989134725	0.0002581372154946	3126.1715617325617	1843.6659638513656	690525.5061965247	0.1191641952501705	0.0002681151290422	2073.1551993617904	3254.30808076434	531175.8498611159	0.0892119362371292	0.000246072744206	3325.861857848045	506.7084190332471	653225.779805406	0.1120064045654779	0.0002610510325873	630.3864931657166	2371.421302431912	867395.0346898267	0.1543992636276308	0.0002935159021356	1998.0137011009465	2781.3443015322637	506624.8928198321	0.0847391475159954	0.0002419888938412	2296.2136396329624	1053.707842705287	540404.7277457106	0.0909028428277297	0.0002447153354892	2509.3556787324196	1965.7926582784255	508570.37638529413	0.0850922426974291	0.0002424279556412
TOI_3505.01_50.000s_R-0007_aligned.fits	7	0	59782.59750334453	2459782.5975033445	2459782.602808816	1.296785181174721	25	680.1514358834673	20.64555116570023	6562662.6484804945	1849.365534255605	1743.8986772620435	713283.0788369272	0.108688061087839	0.0002344878349803	2718.8702050924	3167.768790559787	709908.8932596867	0.1212948507574626	0.0002667441534539	1698.1326231905707	570.8980519506845	857664.0547042268	0.1503355418246509	0.0002856418202544	657.6946598117454	3307.281298247233	640911.1301752569	0.1082299938107975	0.0002540409363011	3130.9559922889953	1843.5737270353245	699768.2578446316	0.1193554260438824	0.0002639952051921	2077.8824637834177	3254.3074765561096	540894.9237395539	0.0898232792203594	0.0002421306610322	3330.587111707714	506.5175066521897	656207.1526407085	0.1110999910357249	0.0002564940889735	635.1055485441136	2371.337193390449	878402.3654738725	0.1545323967834302	0.0002892006560421	2002.769004724486	2781.268149295797	518269.0063679137	0.0857437548006508	0.0002383609640501	2300.8767039409818	1053.615754298341	546008.9118813099	0.0907495986614534	0.0002407047041741	2514.040631777428	1965.7424849280233	514627.9523933355	0.0850901124502939	0.0002382962917259
TOI_3505.01_50.000s_R-0008_aligned.fits	8	0	59782.59826516174	2459782.5982651617	2459782.6035703677	1.2930286206576431	25	640.3151096512772	21.29586397902053	6986101.16336587	1849.9370474354344	1744.2577313791255	758361.4386135505	0.1085528853475943	0.0002182692484091	2719.4360400204355	3168.2598823941735	758340.0898444646	0.1217676916137169	0.0002488073250929	1698.5942914790703	571.0996803520152	912086.5908435936	0.1501620682587272	0.0002664314947502	658.1502335609762	3307.727053683264	684507.3379671774	0.1086244777009045	0.0002365885128607	3131.5469143165446	1843.982974764473	744772.3748226436	0.1193291364796821	0.0002457635490515	2078.5526404783573	3254.6593356876892	574692.3605894456	0.0896358941174642	0.0002246676026843	3331.1573230554422	506.84679661777	696709.3457317918	0.1107753127700474	0.0002382778671092	635.561696113958	2371.679366473306	936023.8718332032	0.1547127130331388	0.0002701109376373	2003.5101088046656	2781.673047572571	549743.2399023396	0.0854121611071797	0.00022094054486	2301.537214593084	1053.9196114381857	580536.9003662539	0.0906300954186975	0.0002233490929698	2514.727911329435	1966.0583102841904	548689.0514649556	0.0852344143775708	0.0002211460218942
TOI_3505.01_50.000s_R-0009_aligned.fits	9	0	59782.59902534727	2459782.5990253473	2459782.604330554	1.2893222508587423	25	625.6050982337448	21.56548063609727	7070940.110225455	1847.9480338779192	1744.3548835551023	765637.4413083156	0.1082794408343396	0.0002144126014425	2717.4431470828913	3168.076005871214	763776.6977591643	0.1210967035116829	0.0002440154447925	1696.4887542036731	571.4083585879193	925780.800570398	0.1506520423507726	0.0002624350926951	656.0329080670699	3307.5597627427996	696400.8047365544	0.1092472367590403	0.0002326153512684	3129.465160482084	1843.95141057483	752275.001445055	0.1190560013063037	0.0002413737189082	2076.421682855043	3254.521155176948	582510.7286152511	0.0897768464994362	0.0002205570161196	3328.9101479774586	506.85310355199726	710702.9657575793	0.1117415828395247	0.0002348868192018	633.3858086702195	2371.6297640559474	950917.0242060602	0.155378012605596	0.0002661492496627	2001.3958227058272	2781.528050032117	547475.3100161206	0.0839240076835476	0.0002158908000517	2299.417247259562	1054.1042485963962	588240.7871421948	0.0907401003541252	0.0002194152521021	2512.5926821619964	1966.1294699257287	552859.9899770764	0.0848194529336361	0.0002169072652575
TOI_3505.01_50.000s_R-0010_aligned.fits	10	0	59782.59978634259	2459782.5997863426	2459782.6050918396	1.285653557341722	25	616.7778820993777	21.93725274050064	7177739.891139088	1842.7451811005888	1744.234518653951	776738.8068930404	0.108214956054889	0.0002108259306042	2712.273608604753	3167.9310798697757	779250.039310667	0.1217865554773037	0.000240049896147	1691.4650064689345	571.1422095003591	934051.5218310338	0.1495993179964791	0.0002576015504922	651.0281271524295	3307.4344115948775	708331.4084612387	0.109489362181694	0.0002286859097247	3124.3196527063674	1843.8485803418096	768246.2195472943	0.119860672138943	0.0002377797087907	2071.212671850508	3254.4369836985793	592869.4652618044	0.0900350996933729	0.0002165321774041	3324.12624905602	506.6399827602595	712526.6389650598	0.1102093018703539	0.00022984587322	628.498823543243	2371.5539352487403	962332.3309435184	0.1548301252369102	0.0002613550955477	1996.24721610624	2781.4012077084	560053.4043071442	0.0846297879812762	0.0002122819854161	2294.3234027834237	1053.8244761709202	594255.9637265736	0.0902646638586284	0.0002153220316554	2507.4361233504487	1965.9055664886216	565822.8987847539	0.0855762253880442	0.0002135084013227
