duration_label,duration_hours,midpoint_hours_since_first_image,event_coverage_fraction,depth_ppt,depth_error_ppt,depth_snr,upper_limit_ppt,in_event_points,baseline_points_before,baseline_points_after,reduced_chi_square,residual_scatter_ppt
TOI catalog,2.004,1.4367716326999997,1.0000000000000002,0.6598123988932824,0.5131036908804918,1.2859240941358983,2.1991234715347576,110,21,132,3.001767430604143,2.426819768148856
TOI catalog,2.004,1.470104966033333,1.0000000000000002,0.5774503141024239,0.4993808634343429,1.1563324836502176,2.0755929044054526,109,23,131,3.005402763117559,2.409041003010638
TOI catalog,2.004,1.5034382993666664,1.0,0.8252075266384252,0.48512047216936527,1.7010362868181097,2.280568943146521,109,25,129,2.9876097502031427,2.420995209396534
TOI catalog,2.004,1.5367716326999996,1.0,0.9040670280775986,0.47364585525071945,1.9087405031741285,2.3250045938297568,110,26,127,2.979113392153411,2.4313588468963716
TOI catalog,2.004,1.570104966033333,0.9999999999999998,0.9639606152087216,0.46429772213848297,2.076169167423155,2.3568537816241704,110,28,125,2.9715933383683093,2.3739763736108523
TOI catalog,2.004,1.6034382993666663,0.9999999999999998,0.9554094465876485,0.4554627666756277,2.0976675076232385,2.3217977466145316,110,30,123,2.9705848568028403,2.360392874516951
TOI catalog,2.004,1.6367716326999997,1.0,0.9692745299438847,0.4467188533775945,2.1697640979674384,2.309431090076668,110,32,121,2.9671321762816714,2.336266123642837
TOI catalog,2.004,1.670104966033333,1.0,0.9353481132851823,0.4381757607504262,2.134641386103356,2.2498753955364608,109,34,120,2.968827760460319,2.3614413082143475
TOI catalog,2.004,1.7034382993666664,1.0000000000000002,0.8576694695851782,0.4304518493949044,1.9924864320848499,2.1490250177698913,109,36,118,2.975426186372992,2.362666712419423
TOI catalog,2.004,1.7367716326999996,1.0000000000000002,0.9296325093277953,0.42330850125034386,2.196111126003615,2.1995580130788266,109,38,116,2.965843379916876,2.3249602158923235
TOI catalog,2.004,1.770104966033333,1.0,0.8920582641889532,0.41862644392725906,2.130917138965923,2.1479375959707303,110,39,114,2.969006042143088,2.3972405648747195
TOI catalog,2.004,1.8034382993666662,1.0,0.876413255275515,0.4131435672257672,2.1213285763120413,2.1158439569528165,110,41,112,2.9694637171642206,2.4110693922491637
TOI catalog,2.004,1.8367716326999997,0.9999999999999998,0.8791505987834677,0.4072007440289728,2.1590102957201744,2.1007528308703862,110,43,110,2.9676540595912346,2.379060191559865
TOI catalog,2.004,1.8701049660333329,0.9999999999999998,0.7984943567109126,0.40179701164096443,1.9873078534103854,2.0038853916338057,109,45,109,2.975658513390171,2.457463068295728
TOI catalog,2.004,1.9034382993666663,1.0,0.6610047688430692,0.39717097187629813,1.6642826783648834,1.8525176844719637,109,47,107,2.98901603918506,2.494855951639729
TOI catalog,2.004,1.9367716326999995,1.0,0.6094205585359755,0.3933922341799765,1.549142320529811,1.789597261075905,109,49,105,2.993230678550325,2.5011802183426006
TOI catalog,2.004,1.970104966033333,1.0000000000000002,0.40346210862569803,0.39128710898781216,1.0311152587402646,1.5773234355891343,110,50,103,3.0085560159008886,2.389908671098388
TOI catalog,2.004,2.003438299366666,1.0000000000000002,0.31789568012102165,0.38862378398969927,0.8180036663156152,1.4837670320901193,110,52,101,3.013104224942761,2.386750958093985
TOI catalog,2.004,2.0367716326999994,1.0000000000000002,0.19824659610790185,0.38573172111308396,0.5139494245789094,1.3554417594471537,110,54,99,3.0177927885302296,2.3696779052558803
TOI catalog,2.004,2.070104966033333,0.9999999999999998,0.16655397977677255,0.38201330492605345,0.43598999728298077,1.312593894554933,110,56,97,3.018651729307055,2.4034875228142125
TOI catalog,2.004,2.1034382993666663,0.9999999999999998,0.0975382116533491,0.37852622414631476,0.2576788751514528,1.2331168840922935,109,58,96,3.020087415111939,2.4157684031405355
TOI catalog,2.004,2.1367716326999995,0.9999999999999998,-0.07765691767380395,0.37581940388577106,-0.20663360345653542,1.0498012939835093,109,60,94,3.0203626736042564,2.440364170722312
TOI catalog,2.004,2.1701049660333327,0.9999999999999998,-0.11951086569198868,0.3743658698754583,-0.3192354733933059,1.003586743934386,110,61,92,3.0196750689825937,2.4010140679130227
TOI catalog,2.004,2.2034382993666664,1.0000000000000002,-0.11134625636157966,0.37351987305797735,-0.29809995235326237,1.0092133628123523,110,63,90,3.019826555023179,2.4101311375160357
TOI catalog,2.004,2.2367716326999996,1.0000000000000002,-0.10953662421479989,0.3722214513770783,-0.29427810731905935,1.007127729916435,110,65,88,3.0198528417227486,2.416527892014633
TOI catalog,2.004,2.270104966033333,1.0000000000000002,0.005402536708554734,0.3707074041023639,0.014573587278723262,1.1175247490156466,110,67,86,3.020856212736577,2.4712921839538584
TOI catalog,2.004,2.303438299366666,1.0000000000000002,0.07869668586157508,0.36893982995797653,0.21330493341024984,1.1855161757355046,109,69,85,3.020330134326777,2.4402702304061537
TOI catalog,2.004,2.3367716326999997,0.9999999999999998,0.08735102598343904,0.3676330685356848,0.23760383235209484,1.1902502315904935,109,71,83,3.0202028830789724,2.4510375242976936
TOI catalog,2.004,2.370104966033333,0.9999999999999998,0.0007393257806709351,0.36790575858711716,0.0020095520752656786,1.1044566015420225,109,73,81,3.0208586335013905,2.4636210594869437
TOI catalog,2.004,2.403438299366666,0.9999999999999998,-0.06228174300614255,0.3687161834037855,-0.16891513258569688,1.0438668072052137,110,74,79,3.020527208671217,2.4470269072651427
TOI catalog,2.004,2.4367716326999993,0.9999999999999998,-0.14465194701070175,0.36939243858009624,-0.3915942285303074,0.963525368729587,110,76,77,3.0190780509480444,2.4371990969640036
TOI catalog,2.004,2.470104966033333,1.0000000000000002,-0.08409512806820585,0.36990497852216775,-0.2273425148376752,1.0256198074982974,110,78,75,3.0202582923469996,2.4400686767524657
TOI catalog,2.004,2.503438299366666,1.0000000000000002,-0.13400637977011676,0.3697840217539092,-0.3623909414325583,0.9753456854916107,110,80,73,3.019333601148488,2.3943368446671522
TOI catalog,2.004,2.5367716326999994,1.0000000000000002,-0.2661511662787248,0.3698637006241118,-0.7195925575546306,0.8434399355936106,109,82,72,3.014854326126947,2.425175993632735
TOI catalog,2.004,2.5701049660333326,1.0000000000000002,-0.2413031253850445,0.37140355414470366,-0.6497060210980902,0.8729075370490665,109,84,70,3.015962174032093,2.416205209392182
TOI catalog,2.004,2.6034382993666663,0.9999999999999998,-0.23943357731218956,0.3738778584340606,-0.6404058756381733,0.8821999979899922,110,85,68,3.0161011325439895,2.421454941598776
TOI catalog,2.004,2.6367716326999995,0.9999999999999998,-0.3744377647945065,0.3761176000264561,-0.9955337499977894,0.7539150352848618,110,87,66,3.0093872729192817,2.4478949244503525
