sector,events,cycles,target_x,target_y,difference_centroid_x,difference_centroid_y,centroid_offset_pixels,centroid_offset_arcsec,bootstrap_68pct_centroid_error_arcsec,pixel_scale_arcsec,difference_aperture_depth_ppt,difference_aperture_depth_error_ppt,consistent_with_target_within_one_pixel,angular_limit
14,6,-380;-379;-376;-375;-374;-372,7.707758916163257,7.702440053093277,7.888447679996304,7.8329962790342265,0.22292006977268516,4.527046461683103,3.04205484606246,20.307935782988935,1.4309606793061949,0.6133635234906603,True,TESS cannot separate the 0.517-arcsec companion from the target
41,9,-128;-127;-126;-125;-124;-123;-122;-121;-120,7.549649490659785,7.987323601083556,7.67115197467383,8.038949861862696,0.13201562189233068,2.6318826232737154,2.1401312704042477,19.936145325439036,1.321650801577178,0.2606200575578214,True,TESS cannot separate the 0.517-arcsec companion from the target
54,7,-8;-7;-6;-4;-3;-2;0,7.959723454952886,7.953629031144924,8.001747877683474,8.017792242251721,0.07670051998112212,1.6137515955915898,3.649425314108049,21.039643485973414,1.6856991310537741,0.22742058844842838,True,TESS cannot separate the 0.517-arcsec companion from the target
81,7,245;246;247;250;251;252;253,7.967717431337251,7.901752467611052,7.854417397392018,8.11621191875119,0.24254845675724332,5.101267132449909,3.873735081825526,21.03195048383901,1.7476632855753067,0.16964331545475966,True,TESS cannot separate the 0.517-arcsec companion from the target
