sector,radius_pixels,aperture_pixels,cadence_minutes,quality_zero_points,observed_depth_ppt,depth_error_ppt,midpoint_offset_minutes,midpoint_offset_low_minutes,midpoint_offset_high_minutes,local_residual_scatter_ppt,depth_snr,note
14,1.5,8,30.00000089406967,717,2.86036065956695,0.23165372065018455,2.879999999999993,0.0,5.759999999999995,0.846339875001939,12.347570552887085,custom extraction from the same TESS pixels; not an independent observation
14,2.0,13,30.00000089406967,717,2.572374688725561,0.29968886417031154,2.879999999999993,-2.8800000000000026,5.759999999999995,1.1003713770984458,8.58348439421391,custom extraction from the same TESS pixels; not an independent observation
14,2.5,20,30.00000089406967,717,2.324504082033997,0.30588722890589093,1.4400000000000013,-2.8800000000000026,5.759999999999995,1.041320553816871,7.599219131666175,custom extraction from the same TESS pixels; not an independent observation
14,3.0,29,30.00000089406967,717,1.9620515275204793,0.293444385432755,2.879999999999993,-1.4400000000000013,7.199999999999997,1.0515273228568256,6.686280688679588,custom extraction from the same TESS pixels; not an independent observation
14,3.5,37,30.00000089406967,717,1.7312591338308063,0.3066789663069256,2.879999999999993,-1.4400000000000013,8.639999999999997,1.1477475989918526,5.645183804676565,custom extraction from the same TESS pixels; not an independent observation
14,4.0,50,30.00000089406967,717,1.64459536575302,0.335044471146502,2.879999999999993,-2.8800000000000026,10.079999999999998,1.179655886807245,4.908588284191987,custom extraction from the same TESS pixels; not an independent observation
41,1.5,7,10.0,3658,2.69815198067612,0.13628365804959405,-7.200000000000006,-7.200000000000006,-1.4400000000000013,1.2528953288286295,19.798059571414306,custom extraction from the same TESS pixels; not an independent observation
41,2.0,12,10.0,3658,2.2803801787187195,0.16625233298399,-1.4400000000000013,-5.760000000000005,10.079999999999998,1.5037360084178257,13.716380021796859,custom extraction from the same TESS pixels; not an independent observation
41,2.5,19,10.0,3658,1.6668944122546872,0.16734676205085464,11.52,-7.200000000000006,12.959999999999992,1.549670248571318,9.960721031149312,custom extraction from the same TESS pixels; not an independent observation
41,3.0,26,10.0,3658,1.4982573886468118,0.19964835356086,11.52,8.639999999999997,14.399999999999993,1.8853495444073387,7.504481564332505,custom extraction from the same TESS pixels; not an independent observation
41,3.5,39,10.0,3658,1.175607962262919,0.23703386114857533,11.52,-14.400000000000002,17.279999999999994,2.081362700590162,4.959662541741391,custom extraction from the same TESS pixels; not an independent observation
41,4.0,50,10.0,3658,0.9337700914263414,0.2629177881458344,12.959999999999992,-18.720000000000006,24.48,2.3239606339601577,3.551566814902614,custom extraction from the same TESS pixels; not an independent observation
54,1.5,9,10.0,2819,2.31627779809899,0.16120214039808073,-4.320000000000004,-5.760000000000005,-1.4400000000000013,1.1584457047756969,14.368778183584014,custom extraction from the same TESS pixels; not an independent observation
54,2.0,11,10.0,2819,2.2986119528232387,0.18219422644211866,-4.320000000000004,-7.200000000000006,0.0,1.3434144012048783,12.616272193199741,custom extraction from the same TESS pixels; not an independent observation
54,2.5,21,10.0,2819,1.620157321289457,0.18251223645092138,-14.400000000000002,-20.160000000000004,-5.760000000000005,1.3887157346982362,8.876979170243892,custom extraction from the same TESS pixels; not an independent observation
54,3.0,27,10.0,2819,1.5100095086647132,0.1937272064134925,-15.840000000000003,-21.600000000000005,-11.520000000000005,1.418078645144507,7.7945144444076675,custom extraction from the same TESS pixels; not an independent observation
54,3.5,37,10.0,2819,1.3428318047615944,0.21608401060326024,-15.840000000000003,-23.040000000000006,-5.760000000000005,1.5456859635849638,6.214396895969747,custom extraction from the same TESS pixels; not an independent observation
54,4.0,47,10.0,2819,1.2175777253448976,0.2241940434793707,-15.840000000000003,-23.040000000000006,-8.640000000000002,1.6696937893303734,5.430910234940892,custom extraction from the same TESS pixels; not an independent observation
81,1.5,8,3.3333333333333117,9684,2.840494859214273,0.17033712125592068,-2.8800000000000026,-4.320000000000004,-2.8800000000000026,2.313274280475992,16.675724224237715,custom extraction from the same TESS pixels; not an independent observation
81,2.0,11,3.3333333333333117,9684,2.7241234007137494,0.19479415644868303,4.319999999999994,-4.320000000000004,4.319999999999994,2.6191149610926647,13.98462587573256,custom extraction from the same TESS pixels; not an independent observation
81,2.5,21,3.3333333333333117,9684,1.8591986313647626,0.20806941200669185,-2.8800000000000026,-12.96,4.319999999999994,2.7672992287211504,8.935473087725974,custom extraction from the same TESS pixels; not an independent observation
81,3.0,27,3.3333333333333117,9684,1.690436495250445,0.23100096001691137,-2.8800000000000026,-12.96,4.319999999999994,2.9831382252553613,7.317876493356086,custom extraction from the same TESS pixels; not an independent observation
81,3.5,37,3.3333333333333117,9684,1.5842563842102313,0.2670895521619659,-12.96,-15.840000000000003,4.319999999999994,3.4465372862995887,5.931555058542767,custom extraction from the same TESS pixels; not an independent observation
81,4.0,47,3.3333333333333117,9684,1.384734135903211,0.2927944687708767,-12.96,-28.800000000000004,4.319999999999994,3.843719621801587,4.7293725927139025,custom extraction from the same TESS pixels; not an independent observation
