slice,bjd_tdb,orbital_phase,historical_schedule_window_fraction,used_in_primary_ground_curve,tic_390988375_relative_brightness,tic_390988378_relative_brightness,tic_390988347_relative_brightness,tic_390988410_relative_brightness,tic_390988435_relative_brightness,tic_390988436_relative_brightness,tic_390988374_relative_brightness,tic_390988358_relative_brightness,tic_390988400_relative_brightness,tic_1845606942_relative_brightness,tic_390988325_relative_brightness,tic_390988426_relative_brightness,tic_390988448_relative_brightness,tic_390988407_relative_brightness,tic_390988312_relative_brightness,tic_390988462_relative_brightness,tic_390988315_relative_brightness,tic_390988392_relative_brightness,tic_390988472_relative_brightness,tic_390988304_relative_brightness,tic_390988341_relative_brightness,tic_390988440_relative_brightness,tic_390988463_relative_brightness,tic_390988452_relative_brightness,tic_390988307_relative_brightness,tic_390988399_relative_brightness,tic_390988366_relative_brightness,tic_390988316_relative_brightness,tic_390988286_relative_brightness,tic_390988425_relative_brightness,tic_390988421_relative_brightness,tic_390988342_relative_brightness,tic_390988456_relative_brightness,tic_390988350_relative_brightness,tic_390988287_relative_brightness,tic_1845610104_relative_brightness,tic_1845609659_relative_brightness,tic_390988444_relative_brightness,tic_390988453_relative_brightness,tic_390988278_relative_brightness,tic_390988513_relative_brightness,tic_1845606364_relative_brightness,tic_1845606859_relative_brightness,tic_1845607076_relative_brightness
109,2459782.6797503065,0.2764818820,0.0000000000,True,0.5766298885,0.9430112334,0.9761090240,,0.5336780072,1.0230025437,0.6524074789,1.0386711926,,,1.0908371399,0.9609510826,1.2572479243,1.2041967461,0.8509043000,1.4703482978,0.6083282572,0.8218860417,0.5563736729,0.9108412234,0.8197630684,1.0000000000,0.6935600382,0.7595629358,1.6671062864,1.1053205859,,1.2053211165,1.0501535083,0.4525446292,,0.9971245806,1.9947380419,1.1112022542,0.5304912436,1.0326070565,0.9895885349,1.0725002272,1.1448951700,0.8933824810,,,0.9751672652,1.1261537448
110,2459782.6805032138,0.2767401554,0.0000000000,True,1.0266495259,0.8023740812,0.9492395241,0.0199691497,1.0731179134,0.7346768570,0.9741579474,1.0915485376,,2.7488181344,0.9847881435,1.2470929916,0.3598062077,2.4461589419,0.6272745087,1.0742530015,0.0000224084,0.6605530430,1.0779808292,1.1250521433,0.9541225142,1.7744356579,1.3325549039,0.9538690495,0.7531553807,1.0384117724,,0.8554152369,0.9908245372,1.1525202015,,1.0484087046,0.1439106097,1.0525750700,1.6378138370,0.8170150606,0.9785633172,1.0071052182,0.9911090069,0.9565536456,,,1.0494744886,1.1666409388
111,2459782.6812559585,0.2769983731,0.0000000000,True,0.6011251391,0.9840864767,0.9742417767,,0.9117008776,0.9223677630,0.9825029838,1.0318354949,,0.6032437109,1.0877334403,0.9591224716,0.8523445277,1.0154345894,1.0396984840,1.3469954614,1.3371091730,0.6173908007,0.0082631539,0.9461482539,1.0848731327,0.3412910791,0.6069728157,1.1875346186,0.6808825170,1.0473567224,,0.5922758147,1.0298888823,1.0509019208,,1.0524723185,1.6756119660,1.1638405363,1.7359148171,1.0081685940,0.9557487397,1.0153066601,1.0780939524,1.0916501465,0.4423944138,,0.9748604478,1.1066536884
112,2459782.6820092103,0.2772567648,0.0000000000,True,0.8675355282,1.0164904088,1.0348509810,2.1678029136,1.2075119087,0.9730755593,1.1116304011,1.1523673252,,1.9135411720,1.0433918585,0.9526543882,0.5313696535,,0.8488677095,0.4589130851,0.8083370046,0.5743967911,1.8462292477,0.9176475104,1.1396911657,0.0718243064,0.6032150351,1.1040598574,,1.0552605758,,1.0377031458,1.0509452869,0.9281763518,,1.0111854297,0.1363232307,0.9847018936,0.7762042283,1.0868676389,1.0226210775,1.0163622526,1.0168599798,0.8842258568,0.3595522926,2.0863916062,1.0636587092,1.0566545606
113,2459782.6827624757,0.2775151610,0.9999994040,True,0.8431780991,0.9458825641,1.0898864442,,1.1925535855,1.1135394655,0.8139378793,1.0224847784,,1.8651380857,1.0740201154,1.4460831558,0.5154802131,,1.2305316813,0.7740596918,1.6421001242,0.9382237385,,1.1499894448,0.9860982873,0.6379994071,1.1616667161,0.9654785942,,1.0385269031,,0.8702388985,1.0442522885,0.9916085200,,1.0004577613,1.6797807277,1.0156291782,1.2371929996,0.9981600604,1.0298892178,1.0403700916,1.0286615253,0.9526472895,1.5930683371,0.6341201768,1.0937038405,1.1009075757
114,2459782.6835151580,0.2777733573,0.9999994040,True,1.4164222202,0.9590614501,1.0386197973,,1.3258074576,1.1424470423,1.3304617183,0.9716412652,,0.6902617201,1.0055999211,0.8514689755,1.4193400335,,1.3966140705,1.2533132414,0.3527159945,0.5308887126,1.8401510797,1.1395093289,1.0190545660,,1.2180198825,1.0049213728,0.9377297140,1.0354948477,,1.0230226263,1.0150707424,0.8644057737,,1.0458832942,4.3250992128,0.8730022498,0.3577250815,1.0350283862,1.0972507975,1.0072553684,0.9228790892,0.7599631519,0.0248752348,0.1495746317,1.1151873856,0.9975680599
115,2459782.6842677188,0.2780315119,0.9999994040,True,0.5896726802,1.4446635151,0.9763011537,,1.1466506653,0.9870526881,1.1379605990,0.9835806574,,1.3427465790,1.1575620677,0.9451786476,0.5017616255,1.7140500782,0.9943293196,0.7826270338,1.1005980807,0.8124950739,0.6014797221,1.0183157499,1.0119655318,1.5365200288,0.7502671295,1.2667986338,1.4062227473,1.0347131519,,1.0748014571,1.0539288972,1.2451243029,,0.9595401096,1.1342383980,1.0220885603,0.8249041233,1.1292802715,1.0717341475,1.0544159203,1.1088763331,1.0768264503,0.1418473808,0.5993133099,0.9714064732,1.0322476131
116,2459782.6850199620,0.2782895576,0.9999994040,True,0.1157025275,8.0072062075,0.8356596014,,,1.1387041375,0.9306205376,0.4192204018,,,0.8574958286,0.3870105143,2.9708003701,2.5405811090,0.6544995988,1.4924936881,1.1015276882,0.4845428564,1.0447180007,0.6467598252,0.7852138635,,1.2895176958,0.6384303815,1.8919173728,0.7235981000,,0.6344922469,0.7730276229,0.6317442282,1.2250269776,0.6247217734,4.0847728143,0.9425536902,0.0112559982,1.3244161224,0.5868600471,0.7076258248,0.7814080471,0.6276238986,0.2592567761,2.4620773955,0.2195565073,0.5433568886
117,2459782.6857723058,0.2785476377,0.9999994040,True,0.6396842413,1.5107636454,1.0730874648,,1.2881636250,1.1215059286,1.7138350992,1.0578134318,,1.0251985655,1.2954460175,1.0865927387,0.9663991569,,1.2255545686,1.0000000000,1.7470748867,1.3704816252,1.7929011906,1.2282331763,1.0786188948,0.7887793928,0.9513771616,0.9777589917,2.6849195181,1.0292006461,,1.2454102846,1.0525673137,1.4320264768,,1.0060022162,1.8016663731,1.0636765915,1.2219338147,1.0979437588,1.0542699843,1.0264639354,1.0549861583,1.1293289143,0.8984697291,0.2667134463,0.9578293519,1.0275801164
118,2459782.6865251865,0.2788059020,0.9999994040,True,0.7843939738,0.9080289024,0.9661036132,,1.2392756385,0.9079799395,1.3488084314,1.2250326261,,1.4513403661,1.0149829206,0.8786598524,0.4711701725,,0.8804544272,1.4154629288,1.8546046173,0.9733419124,0.8905781835,1.0328295098,1.1249618917,1.2428628338,1.4216550148,0.9757813576,0.8578065940,0.9853083421,,0.8630708009,0.9907919560,0.6472182549,,1.0821966217,1.1637042645,1.1417699083,1.0315332958,0.8140969976,0.9306104966,0.9923819592,1.0159466652,1.0643142187,1.6119572868,0.6817125206,1.0638797058,1.2010159138
