slice,bjd_tdb,orbital_phase,historical_schedule_window_fraction,used_in_primary_ground_curve,tic_390988375_relative_brightness,tic_390988378_relative_brightness,tic_390988347_relative_brightness,tic_390988410_relative_brightness,tic_390988435_relative_brightness,tic_390988436_relative_brightness,tic_390988374_relative_brightness,tic_390988358_relative_brightness,tic_390988400_relative_brightness,tic_1845606942_relative_brightness,tic_390988325_relative_brightness,tic_390988426_relative_brightness,tic_390988448_relative_brightness,tic_390988407_relative_brightness,tic_390988312_relative_brightness,tic_390988462_relative_brightness,tic_390988315_relative_brightness,tic_390988392_relative_brightness,tic_390988472_relative_brightness,tic_390988304_relative_brightness,tic_390988341_relative_brightness,tic_390988440_relative_brightness,tic_390988463_relative_brightness,tic_390988452_relative_brightness,tic_390988307_relative_brightness,tic_390988399_relative_brightness,tic_390988366_relative_brightness,tic_390988316_relative_brightness,tic_390988286_relative_brightness,tic_390988425_relative_brightness,tic_390988421_relative_brightness,tic_390988342_relative_brightness,tic_390988456_relative_brightness,tic_390988350_relative_brightness,tic_390988287_relative_brightness,tic_1845610104_relative_brightness,tic_1845609659_relative_brightness,tic_390988444_relative_brightness,tic_390988453_relative_brightness,tic_390988278_relative_brightness,tic_390988513_relative_brightness,tic_1845606364_relative_brightness,tic_1845606859_relative_brightness,tic_1845607076_relative_brightness
129,2459782.6948093004,0.2816476419,0.9999994040,False,0.7553323180,0.8924189978,1.1020269708,,2.2928397758,1.0135855411,,0.9419788819,,0.7392051090,0.8117497242,,0.9028724450,,1.4452802884,2.0429244177,,2.5011298067,0.3577786543,0.6661859325,0.3829914613,3.6732031167,0.3872644636,0.7536576410,4.3750367252,1.2836514880,,0.7763064314,1.0686518009,3.1154843917,,0.9846154740,4.3601756270,0.7806651414,,1.3550056993,1.5379696851,1.2365747822,1.0608665107,0.6171079566,,1.5124052924,1.0899571996,0.7786984885
130,2459782.6955639157,0.2819065012,0.9999994040,False,0.1883902619,,1.3452453462,,0.7930449395,0.2050917533,2.6742188726,0.0038942327,18.0672727742,,0.7817497723,,2.8297574521,7.2334485873,0.3926633445,6.6675153156,2.0777359122,2.8419389305,0.0263313932,,0.1532224924,0.9662838528,,1.3915929675,1.0510724472,1.1210414931,,3.8315073935,1.0741702707,1.0855366510,,1.0192749452,16.1806323542,1.2053173397,1.1079302296,1.2626447388,1.2842232370,1.4809417636,1.7750729615,1.7928982685,,4.8196123473,1.0110061066,0.9211125227
131,2459782.6963179847,0.2821651732,0.9999994040,True,0.8524855789,0.8856816153,1.0215294374,,0.5285935616,1.1718425822,0.8028813663,1.0000000000,,0.8152820711,1.0271143461,0.2648882347,1.1323586879,1.0476194049,1.3457719577,0.5226264305,1.2531831976,0.7314981565,0.8055354099,0.8011678455,1.0944711393,0.7541824150,1.0833609119,1.1096358996,,0.9999258703,,1.2694195756,1.0393463357,1.0753785578,,1.0156098235,,1.0135729477,1.2435228556,1.0167698322,1.0570878946,1.0439658847,1.0617484970,0.9804679368,,,1.0942994145,1.0951681881
132,2459782.6970712738,0.2824235776,0.9999994040,True,0.0920585275,4.3564516426,0.7511332430,,,0.9691849404,1.3542097181,0.2984888326,,,0.9725119089,0.5306272646,2.3491934282,1.6927714323,0.6518253158,0.0713379579,0.0048756506,0.7964859613,,0.5964200798,0.6614584736,,0.7002922101,0.8361492115,,0.8076689965,,0.5824754305,0.8302032996,0.3215214481,5.4191643004,0.6738998241,0.0334194175,1.0168629582,0.4585985229,1.2237983332,0.6019920112,0.7644566701,0.9135857062,0.5779442760,0.1152181261,,0.2806491462,0.5418968069
133,2459782.6978248958,0.2826820963,0.9999994040,True,1.0505005772,0.8699205980,1.0169514739,,1.4049356328,1.1315511019,0.4032890627,0.8728785370,,,0.9860902338,1.1805262442,0.6008378670,1.1233035378,1.3265782035,0.8497532741,0.0180743105,0.1568729816,,0.9233046649,0.9980975695,1.6833975396,0.1678102553,1.0385006853,,1.0102239247,,1.2629864863,1.0068405753,1.2092374166,,0.9830449266,,0.9578687556,1.1436073501,0.9792724152,1.0871179043,1.0611877582,1.0342350805,1.0431367382,,0.1788530077,0.9280492932,1.0593418679
134,2459782.6985779367,0.2829404155,0.9999994040,True,0.3809294471,1.7694928954,0.9908171942,,,1.0844151496,2.1430895686,0.8332957491,,,1.1664603043,1.2567793346,1.2323587619,,1.1540756309,1.1377263206,0.1848127753,0.2503069687,0.9822593147,0.8837754634,1.0889377169,0.7574419026,0.8182878073,1.0239267625,,1.0913387229,,1.5257963800,1.0416072336,1.1437450599,,0.9206841732,1.5680306884,1.0400514930,0.0861559419,1.3595050559,1.0876297709,1.0531023078,1.0575013090,1.0617382352,,,0.7176797682,0.6822742326
135,2459782.6993383258,0.2832012555,0.9999994040,True,0.5916058575,1.1475344184,1.0568106609,,0.2224393341,1.0287950422,1.1334305249,1.0957763890,,,1.1957804074,0.4710618068,0.1667126956,,0.8675409802,0.7766061970,,1.0017549429,0.5432685793,0.5677105486,0.8616620595,0.5589941897,0.1316097078,1.0491005012,,1.1257373066,,1.3850801257,1.0475276856,1.3880672129,,1.0266447466,,1.0565470980,0.4698965142,1.1176714726,1.0697846243,1.0690984546,1.0185345050,1.0469141668,,0.1985800698,0.8787796150,0.9936371789
136,2459782.7000936135,0.2834603455,0.9999994040,True,0.5855691596,1.1304402287,1.0951139469,,0.6562386988,1.3817410629,1.1433192529,1.0600625206,,0.4472786423,1.0479004910,1.3526956380,0.6419151229,,0.8588974805,2.0763037492,,1.0000000000,0.6621308476,0.7567096503,0.9193129274,1.0751630808,0.4759626028,1.1286967450,,1.1455504023,,1.2944173141,1.0579197831,0.7743397672,,0.9650621803,,0.9835318722,1.2444079227,1.1400947062,1.0502847095,1.0601301264,1.0832424984,1.0722283163,,1.4321660715,0.9840849653,0.9888818101
137,2459782.7008470711,0.2837188078,0.9999994040,True,1.0552518463,1.1109284915,0.9197474337,1.1301700256,0.5180253665,1.1407039984,1.4090680204,0.8760810830,,2.6348467924,0.9330965761,0.8300401920,0.9050248510,,1.2239044150,0.7055616844,1.1446872651,,0.8089407129,0.8203415452,1.1890057948,2.0839105633,0.3557097444,1.1961117342,,1.1298767443,,1.3984298373,1.0243912953,1.0515164629,,0.9499134257,,0.8396843304,0.6633066284,1.1414191111,1.0646535896,1.1686049542,1.1207935587,1.1615923161,0.1425871838,1.0666751946,1.1110194397,0.9245726805
138,2459782.7016101852,0.2839805825,0.9999994040,True,0.4249163699,0.9183271990,0.9986432697,,,0.7042657467,0.7726989624,0.8685459802,,3.6124205067,1.1397942657,1.0369439930,1.0993158718,,0.6982732784,0.6391343473,0.8710217591,0.1263245409,1.1432793010,0.9739458947,0.4230623118,5.1047199690,0.6552045089,0.7315888374,,1.1947869765,,1.0807253678,1.0427859363,1.1379147935,,0.9763446046,2.8900627464,1.1330103004,1.4735288346,1.0571271120,1.1149671203,1.0698696946,1.1279015339,1.3633210941,0.0830699022,,0.9840925123,1.1348957090
139,2459782.7023696420,0.2842411026,0.9999994040,True,0.4376029351,0.9815970044,1.0269303471,,0.0744658413,0.8814643673,2.1276067339,0.8822454102,,,0.9574071461,1.3801073129,0.4224615889,,0.4213542636,1.0110864848,,0.5497801164,1.9806705752,0.6225654415,1.1527150382,1.2068608179,1.0401930244,0.8933104656,0.2941726871,0.9374761703,,1.3593977935,1.0413455427,0.9312097943,2.3054558575,0.9027234045,,1.1023245668,0.0675543497,1.0648746996,0.9248147849,0.9517017934,0.9508938074,0.8374346148,,0.3125805405,0.8240466302,1.0689419240
140,2459782.7031324874,0.2845027852,0.9999994040,True,0.6431155943,1.0595108228,0.9709838761,,0.5720832110,1.1054819789,,0.9074744990,,0.5704223158,1.0405730206,0.9813682949,0.4187320571,3.4834473457,0.6773661128,1.2648040088,,1.7358364134,1.0228099643,0.7290793119,0.9979377486,1.8756243832,1.2479829050,1.0020069135,,1.0271119508,,1.1747978854,1.0328010334,0.8778581005,,0.9563766772,,1.0706509804,0.3769820997,1.0555465011,0.9789301666,1.0150551225,1.1132335103,0.9221395277,0.2637845044,1.9202347830,0.9424970095,1.0501002271
141,2459782.7038899334,0.2847626156,0.9999994040,True,0.3323214710,1.4146278266,1.0951006914,,1.1173737168,1.1894510752,1.2214855912,0.7924893646,,1.1102386150,1.1466944181,1.3069233730,0.3497136543,1.5209220821,0.6120976397,1.0241663482,1.0171115608,1.5252131280,1.7051137456,0.8984371884,1.1984959689,0.4633457204,1.0030215323,0.8326631779,1.8273966454,1.0346494871,,1.6887268678,1.0676869478,1.1645557450,,0.9316163832,2.9726338047,1.0690473761,0.8141835834,1.2213816748,1.0426099257,1.0483547913,1.0868298234,1.1401524401,2.0417184537,3.2825068727,0.8513790936,0.9346528250
142,2459782.7046428472,0.2850208913,0.9999994040,True,0.6087535959,0.9479300089,0.9647511976,,0.9245999205,1.0356334245,,0.7790713903,,0.4733167014,0.9686906216,0.4568270757,0.9529931173,,1.1940561409,1.3188826094,,1.7361632368,1.3430967381,0.9903921417,0.7613721536,0.6838530280,1.2367626602,1.2221281794,0.9753892809,1.0080115929,,1.0937206588,1.0548421795,0.6898007789,,0.9327439700,,0.9648535763,,1.2244219357,1.0201538095,1.0379898400,1.0570155939,0.7595460661,,0.7781027206,0.8736826182,0.8995279839
143,2459782.7054009773,0.2852809563,0.9999994040,True,0.7629910150,1.0193606196,0.9541239477,,1.0812784256,1.0486183701,0.1937480626,0.8863890329,,0.1734798580,1.2354984667,0.6027711474,1.1489362062,0.3215422165,1.0000619017,0.9446912126,,1.5364782053,1.8203748051,0.8412997233,0.9367846323,1.0162011390,0.5804937129,0.9247645663,0.9014176395,1.1679354123,,1.0175448395,1.0393162459,1.0490084325,,1.0178764061,,1.0487376707,0.9120343769,1.0870069834,1.0345532193,0.9831885138,0.9516978988,1.1144012263,,,1.0046346270,1.0507695534
144,2459782.7061556340,0.2855398299,0.9999994040,True,1.1409883049,1.0419356460,0.9449576713,,1.5191736421,0.7565492515,1.3791506810,1.1162788039,,0.6599390620,0.9435127062,1.0800424122,0.7352893017,,1.1982634155,0.6630693932,0.5293372781,1.0540450036,1.6417713756,1.0597719847,1.0908377772,1.0783049035,1.3165179623,1.3029884155,,1.0006992249,,1.0381304208,1.0103874096,0.9493014766,,1.0337588708,1.2850872534,0.9490429584,1.3820240959,0.9971940134,1.0855198163,1.0181479361,0.9622724767,1.0619960451,,2.2406809207,1.0713481759,1.0197038515
145,2459782.7069090409,0.2857982747,0.9999994040,True,0.7710909917,1.0644663480,0.9782117577,3.4661796364,0.8263948562,1.2782990262,1.0641496811,0.8685899508,,0.4570663732,0.9436579407,1.5192001673,0.7023199473,,1.4295168914,0.7416951352,0.8459946671,1.6863178292,,0.8204105487,0.9483273360,0.8465396831,0.8357532800,1.0036419356,,1.0624164473,,1.0801787435,1.0561634403,2.0369174190,,0.9973467188,,0.9736973159,0.2733103713,1.1762499996,1.1836472557,1.0739710260,1.0386228339,0.9639402174,0.0462292134,0.4907434391,1.0201620301,0.9387259255
146,2459782.7076630625,0.2860569304,0.9999994040,True,0.6739197814,1.1631719602,1.0216606751,0.1472761717,0.5464350657,0.9336911968,1.1443356157,0.9911134504,,1.4954396563,1.0402089523,0.9972647685,0.7164260288,,2.9694129988,0.7358170626,0.6425567168,0.8775532802,2.3991660670,0.8979344897,0.9750394129,1.2964819922,0.5142777745,0.8804275772,,1.0494586403,,0.9422988690,1.0615997621,1.1576742782,0.2184411039,1.0126877312,0.0408137588,1.0423928173,1.4026070244,1.1653168399,1.1083883664,1.0752089907,1.0987833321,0.8777921852,,1.0762891763,0.9844209076,0.9797160805
147,2459782.7084165383,0.2863153989,0.9999994040,True,0.6005823211,1.1501583324,1.0310113527,,0.9402579461,1.1819473276,2.0124863252,1.0675423108,,,1.1222946580,0.5639940532,0.5979189521,2.7261914980,1.1019509563,0.5591403755,1.1894950037,0.8688236489,1.4533908781,0.9430243838,1.0211207190,0.8023821264,0.7304161767,1.0550247905,1.1661141597,1.1538626329,,1.1658817154,1.0635812287,1.3823763974,,0.9513608658,,0.9630561280,0.4068137374,1.2052505314,1.1250890722,1.0766516904,1.0924034411,0.8462210557,2.4989685095,2.3584477496,0.9481677096,0.8896363417
148,2459782.7091704095,0.2865740030,0.9999994040,True,0.2631806674,2.4659796918,1.0891652762,0.1492576826,0.4230072011,1.1120712390,1.1842022653,0.7121682649,,,1.0830056792,0.9232536341,1.5393808635,,0.9510394395,1.1994489526,0.2264329911,0.2480814651,1.4703744947,0.9786040912,1.2793936294,0.3289008031,0.6994225606,0.7942813121,0.1874670956,0.9726070851,,1.1649947902,1.0516464169,1.5087811689,0.3970120246,0.8600410499,0.4234824485,0.9874825766,0.7966566094,1.4211056301,1.0763502620,1.0326152173,1.0158877613,0.9839479972,,0.8996242695,0.5953982559,0.6457063732
149,2459782.7099231686,0.2868322256,0.9999994040,True,0.7186217471,1.2807215687,1.0298359687,,0.9284740443,1.0128364804,0.9513200354,0.8797037595,,0.3641923555,0.9449095679,0.8962096607,0.4504014999,,0.9528400961,1.0904618516,0.3761573376,0.8697266316,0.2481994224,0.7733184382,0.9075397581,1.3643658969,0.3450411490,0.9693001482,0.6402849016,1.0052884348,,0.8211999990,1.0573363210,0.9719104649,,0.9522228958,0.1505232819,0.9613113299,1.1758721411,1.1938218352,1.1060478262,1.0536488471,1.0227407029,1.0791271601,,,1.0219205186,0.9103764377
150,2459782.7106763357,0.2870905882,0.9999994040,True,0.1653315510,5.5613106095,0.9809680724,,0.2011665525,1.0459184843,1.0024729268,0.5047695251,,,0.9505152425,0.2623422521,1.7419537114,0.8342929136,0.6638120046,0.1367199450,2.0214885857,1.3455875867,1.5513711221,0.6852171614,0.9630127168,,0.4095016767,0.8324582258,0.3937120438,0.9302954888,,1.1836148887,0.9176063776,1.1873647767,0.8217098690,0.7622950834,2.1646005739,0.9035654698,0.7929600839,1.3967645751,0.7840592117,0.8686450552,0.8669142853,0.8244342902,0.6186079183,0.4136459096,0.3991798318,0.5564876444
151,2459782.7114293799,0.2873489086,0.9999994040,True,0.7360734684,1.4546260296,1.0312048923,,0.8933805732,1.0643972832,1.0771159040,1.0469876982,,1.3166120407,1.0791773525,1.1528083301,0.5060934712,1.4107443026,1.0766037790,0.3130572389,1.7304647646,0.8584491215,1.2852463868,1.1051179490,1.1594825294,0.4920222834,0.4121262860,1.1048412382,0.1436374858,1.1119889883,,0.5671968804,1.0455424427,1.2475774315,,0.9379895060,1.2966141742,0.9651266070,0.5331696335,1.1610852779,1.0551074991,1.0326617922,1.0373441138,0.7227430846,,,0.9739363720,0.9385250779
152,2459782.7121820669,0.2876071065,0.9999994040,True,1.3434924679,0.9734426990,0.9109591887,0.7992600886,0.6830078170,0.9104205702,0.5784649824,0.8527534843,,,0.7264871375,1.2307158921,1.3766142382,,1.1982209636,1.1621435821,,0.6839270865,0.7029740491,0.5901898301,1.0894070410,0.8991654648,1.0759575572,1.0595621575,,0.9427422708,,1.2218565801,0.9752657081,1.3598489644,,0.9545948572,0.1723193027,0.8220124392,,1.0140608867,1.0501033353,0.9730696340,0.8682162603,0.9773290913,0.6925771335,,1.0711532055,0.8882821198
153,2459782.7129347818,0.2878653139,0.9999994040,True,1.2503177336,1.2583141833,0.9301143170,0.9111462253,0.3224818239,0.9655482916,1.0742900506,0.7984664172,,,0.9001220923,0.9595620871,0.7635039561,,1.0913258380,0.8390908873,0.5650591258,1.8628175166,1.6553388366,0.9016643486,0.8152929793,0.5951906892,0.1799595759,1.1109081656,,0.9495073229,,1.2082772196,0.9693031062,1.6301334828,,0.9730385487,0.1721411264,0.8902414752,1.7085428198,0.9948124783,1.0383841582,0.9831857246,0.9124005437,0.9247181229,0.9541582226,,0.9788464649,0.9127357972
154,2459782.7136881002,0.2881237284,0.9999994040,True,1.3085395980,1.2143659767,0.9582305772,,1.3839709335,1.0037006959,0.7960097210,0.8892228099,,1.4222733318,0.9523261026,0.8643742870,0.8716802527,,1.1507672772,1.2934238823,0.6326017086,1.4826351645,1.1327588469,0.9365556476,1.1406255003,0.0772682129,0.8132532918,1.0350126887,,0.9413232535,,0.8149133392,0.9684210642,1.1576688147,,0.9749332553,1.8491484259,0.9205216727,1.1002734994,1.0185400057,1.0570974561,0.9760737651,0.8685955532,0.8171452531,1.1809977724,0.8758553759,1.0083646295,0.8919095469
155,2459782.7144411867,0.2883820633,0.9999994040,True,1.1682363900,1.2486492487,1.0420130447,,1.4379085155,1.1500481063,0.9429554022,1.0437767850,,,0.9771714074,1.2434828263,1.1476064217,1.2808218701,1.1650011585,1.1522924455,1.3336396061,1.1314176765,1.3901408990,0.9561454941,1.1425242556,1.6947798894,1.0578028814,1.1321092972,,1.0680343601,,1.0336009158,0.9915525094,1.4360351223,,1.0319502466,0.9238546025,0.9762774406,0.6200417093,0.9892404752,1.0530798343,0.9925897380,0.9345588583,0.8745836333,1.4306088007,0.7427185141,1.0449883279,0.9821600680
156,2459782.7151942407,0.2886403871,0.9999994040,True,1.5106028694,0.9862002823,0.9101334215,,0.9123837744,0.9205327133,0.7806489167,1.0197721243,,,0.7784933436,0.6649918989,1.0996566742,0.8565959082,1.0619128535,1.2245852932,0.1600823259,0.9219975513,1.0851518802,0.9870268319,0.8271543869,1.3151480231,0.9844378978,0.9269652659,1.7067932790,0.9717783622,,1.1008916023,0.9470405671,1.2767359695,,1.0026289775,0.4988395678,0.8709676903,0.6845717090,0.9316086947,1.0173903930,0.9643608324,0.8643398178,0.9128911345,,,1.0602194847,0.9172392930
157,2459782.7159470404,0.2888986236,0.9999994040,True,0.3729637017,2.8791812172,1.0359575816,0.2114163566,0.7338429659,1.1470883727,1.0240002028,0.7300547930,,,1.0920044140,0.8229130397,1.2487539334,0.9952436172,0.9952706129,0.7786564330,1.0423625787,1.0933203148,0.5031196564,0.8673654119,0.9478809896,0.4196817854,0.4776753103,0.9547900850,1.0612312760,1.0519320908,,1.1651469733,0.9744986254,1.2430767524,,0.8138587014,0.3435140044,0.9794070268,0.2153056908,1.2165449406,0.8689719599,0.9498690690,1.0329508937,1.0136222265,1.4851836757,1.2904879672,0.5850213342,0.7246111750
158,2459782.7166993860,0.2891567044,0.9999994040,True,1.2786657296,1.6143584444,0.9717739109,,0.8042032815,1.0208429873,0.8260747170,0.9280645053,,1.0435261121,0.9448181293,0.9664487427,0.8219832464,,1.1322925905,0.7713878557,0.4164214223,1.1494125067,1.4126562425,0.9828677580,1.0861798370,0.8832510552,0.8561377252,0.8475335501,,0.9695042426,,1.0658176302,0.9731404296,1.2958404935,,0.9831614742,,0.8773370883,1.0069031251,1.0168158519,1.0161213749,0.9598677723,0.8871332959,1.0256211814,1.7556269134,0.4470048591,0.9759884312,0.9084407603
159,2459782.7174525233,0.2894150567,0.9999994040,True,0.6958722844,1.3416473186,1.1356422824,2.1061518873,0.7856766918,1.2066625587,1.0806649099,1.0295410892,,,1.1441650692,0.8039623999,1.0022967798,,1.0549015972,,1.6829706727,1.0493894243,1.5246990564,1.1943670702,1.1402021821,1.4289963451,0.6189381559,1.2643538979,0.8252646351,1.1708205945,,0.9838659237,1.0469611844,1.3317089125,,0.9628734827,0.1918821089,0.9825744178,1.0004354454,1.1842050292,1.0568580726,1.0457629585,1.0486876872,0.9854264180,1.1378328825,0.8267554899,0.9331266679,0.9148738297
160,2459782.7182062040,0.2896735955,0.9999994040,True,1.5773659641,0.9784504247,0.8992976249,,1.4572186067,0.9934316238,1.2669862483,0.9738285062,,,0.7866001886,1.1094291826,1.0371819197,,1.1083996526,1.0267857924,0.3381925533,0.9111652273,0.3188306026,0.9742576474,0.9407766093,0.5993490335,1.0353764225,0.9711870531,0.0765184762,0.9416230053,,0.7905572831,0.9322530955,0.9212291765,,1.0536913405,0.0234646802,0.9168530596,0.6833901454,0.8565367284,0.9562565779,0.9214669197,0.8411902311,1.1117176199,,,1.0464971774,0.9531655577
161,2459782.7189587019,0.2899317285,0.9999994040,True,0.7740664092,1.5957692466,1.0496628502,0.3151907428,0.9413010252,1.1530887941,1.2834772542,0.8014733809,,,1.0815275153,0.9084891097,1.1101382537,,1.2080856370,0.4360754599,1.6003897340,0.9725709793,1.6968324277,1.0550802414,0.9053010429,0.9095692067,0.7140976415,1.0797748120,,1.0705529935,,1.0274782838,1.0093442276,1.6720694759,,0.9463694139,,0.9362555413,0.5019570119,1.1133819846,1.0306906298,1.0181698316,1.0223281142,1.0225263498,0.8370906302,0.5974512001,0.8225752036,0.8712813809
162,2459782.7197117265,0.2901900422,0.9999994040,True,0.8858716091,1.0723322324,0.9964498561,0.2048406525,1.0973071086,0.9267073791,0.8596030959,1.1106425895,,2.2605283693,1.0388621281,1.0277914837,0.7187211446,0.4839476479,0.9206637565,0.6355038322,1.3085876238,1.3003448599,1.3928989787,1.0777629794,0.9613884726,1.4422250370,1.0828253953,0.9368246237,1.3661082253,1.0292728076,,1.1243132850,0.9970582881,1.1004538265,,0.9780249015,0.4254082328,1.0579300733,0.6529680281,0.9930114801,1.0036600987,1.0070833697,1.0067174967,0.9195239071,0.6913457328,1.5735857053,0.9669914598,1.0295202136
163,2459782.7204649015,0.2904484075,0.9999994040,True,0.9311088695,1.2021508565,1.0238308395,2.4123267078,0.5753431198,0.9060530502,1.3360050437,1.0170700994,,,0.8699887054,0.8476903481,0.6460869139,,1.1138587076,1.5256617491,0.0065824680,1.2989663334,0.9243042481,1.0337056644,0.9279777803,1.0802408679,1.0235453567,0.8459251030,0.6222064810,1.0181713998,,1.0113676808,1.0060252421,1.5286405100,,1.0001537648,1.9122886371,1.0000000000,0.5962274416,1.0274155069,1.0476930175,1.0201594006,1.0070506283,0.9519577619,1.0457364931,1.5794689797,1.0033819466,0.9889209352
164,2459782.7212174460,0.2907065565,0.9999994040,True,0.7308180687,1.4722070965,1.0683560301,,0.5052772838,1.1294578255,1.2865643968,0.9161008914,,0.1975655031,1.0299045457,1.2933637482,0.5799096820,,1.2268881283,0.4284598387,1.6058810030,1.0059700175,1.7733515443,0.9087595587,1.1789756630,1.2218743164,0.9304129297,1.0124402953,1.8442876603,1.0831111578,,1.2194458179,1.0343576556,1.2985332456,,0.9263254702,0.4320252158,0.9558329314,0.6000863437,1.1908725486,1.0755406723,1.0566433191,1.0371770431,0.9422243139,1.0743761998,0.7943512119,0.9046701394,0.8636701745
165,2459782.7219702462,0.2909647932,0.9999994040,True,1.2233997094,1.0773739795,1.0451769144,2.8336395593,1.1512921788,0.9992878037,1.0575671948,1.0637052679,,1.4918952857,1.0111576209,0.7113993005,1.0223083366,,1.1974635405,0.7105181119,1.0019861980,1.1235711233,1.0444685642,1.0705752353,0.9946393864,0.5687551099,1.4149830518,1.1489973241,,1.0138894742,0.6785730929,1.1048393598,1.0005458621,1.1386224431,,1.0071125790,1.0232377349,0.9781734608,0.8691094648,1.0240165658,1.0403619460,1.0074392856,0.9440249907,1.0471786265,0.7518062188,1.0803463207,1.0585032545,1.0000000000
166,2459782.7227233690,0.2912231406,0.9999994040,True,0.6664018921,1.3915086720,1.0875930419,1.6186825689,1.0265334477,1.2568312360,1.1586652579,0.8813023485,,2.1801087230,1.0300729664,1.2009816790,1.2118222244,,1.1188135738,0.7925302189,0.9099938492,0.9445280179,1.9417243191,1.2029670800,1.2135719394,0.2330063023,0.8933112132,0.9222098041,1.5745789414,1.0035551869,,0.7216267062,1.0413611208,1.1558881006,,0.9517687926,1.4783542630,1.0023414066,1.1842929389,1.1646963925,1.0609544804,1.0558040640,1.0356685469,1.1160823838,1.5127571436,1.1034945520,0.9127367970,0.9058988787
167,2459782.7234762423,0.2914814024,0.9999994040,True,2.0823035530,0.6694920119,0.8623986865,,1.4787833242,0.8263042575,0.7434565111,1.0053205146,,,0.6558404805,0.9938737543,1.4363097286,,0.8796290275,1.1055455972,0.3074503982,1.0218911935,0.3690461163,0.8062886814,0.9668198886,1.0435318998,1.4276833719,0.8856270099,,0.8473780501,,0.9936974665,0.8790037419,0.8414767759,,1.1327029502,,0.8861268467,1.4829238542,0.6897002953,0.9366102830,0.8834958238,0.7304086969,0.9122225594,0.6977614621,,1.0187981870,0.9446294781
168,2459782.7242292752,0.2917397189,0.9999994040,True,0.8615386026,1.3753726894,1.0186250799,,0.7288091066,1.0305671607,1.5677957855,0.9683465187,,1.1240834747,0.9179905509,1.1929971960,0.9629339364,,0.9197502985,0.7869492415,1.3915419063,0.9724427260,0.9120258072,1.0606289847,0.9680085220,1.2861731687,0.9983508785,1.0273918485,2.0572659787,1.0754783822,,0.7955220253,1.0174447247,1.2560710383,,0.9821024360,0.5614099012,0.9869695046,0.9598253466,1.0722188336,1.0576207455,1.0287502463,1.0135092555,1.1000379265,0.2212774843,1.5895392727,0.9120187658,0.9371783146
169,2459782.7249825085,0.2919981042,0.9999994040,True,1.1267032939,1.1146115477,1.0049742116,2.4762914635,0.8952378756,0.7448620572,0.8709690704,1.0179745011,0.1999703946,,0.8648950477,1.2887506168,0.6854114107,,1.0784440176,1.1632603423,1.0522530169,0.6873036983,0.5712161701,1.0627593400,1.0315250874,1.4194790151,1.1984079608,1.1402922417,1.7691193539,1.0577152247,,1.0680684913,0.9988435697,1.0752661720,,1.0304577121,0.1168788021,0.9662748620,0.7133980253,1.0066979617,1.0488965345,1.0015352331,0.9490513396,0.8683221380,2.4383709199,1.5676733346,1.0600740071,1.0194733528
170,2459782.7257356197,0.2922564476,0.9999994040,True,0.5374855509,1.1416426880,1.0980278667,,1.1895881336,0.9971566752,1.2209763183,1.1447248017,3.1353262320,0.1709603121,1.1089921340,1.0737915943,1.5630819101,,0.9046620889,0.9216444890,0.8292278532,0.9146386339,0.8332301435,1.1113548636,1.0913582856,1.1921781868,1.1734251433,1.2120586212,3.2158144837,1.0669233864,0.2656480214,1.2822506104,1.0613763540,1.1499847750,,0.9714694897,0.4033358922,1.0859886729,0.9651880783,1.1829527609,1.0077541589,1.0575408195,1.1132049106,1.2146810057,,1.7012408252,0.8977339665,0.9314983639
171,2459782.7264877493,0.2925144542,0.9999994040,True,1.0565310472,1.2417431313,1.0222025974,1.3550264115,1.0255829294,1.0191342006,1.5499836724,1.0426501326,,0.9920481794,1.0097579913,1.1496186440,1.3740486869,,1.0707206492,1.1784593064,1.4335443940,1.1174165421,0.9307878205,1.0925126680,1.0619622897,0.9323468553,0.9598957581,1.0626135860,1.0083934009,1.0457483602,,0.9641668962,1.0246474572,1.2105094000,,1.0292775098,,0.9920448834,0.9972666857,1.0647742257,1.0708534295,1.0319640831,1.0062287515,1.0325033916,0.3105592824,0.5294149580,1.0589436950,1.0151363689
172,2459782.7272400553,0.2927725215,0.9999994040,True,0.8498494154,0.8766209712,1.0363903686,1.5877386018,0.8843581870,0.7317879175,0.6899273953,1.1574155801,,1.2617303035,1.0142932088,0.9666508961,0.0963676291,,0.8569173321,0.7765469179,0.6005271604,0.8400192897,1.2042618344,0.8488232201,1.0311624904,1.0511787544,1.4374992031,1.0744869698,,0.9861512360,1.1244013483,0.6703450600,0.9903285457,1.0266373243,,0.9961161302,0.1820043026,1.1439221530,1.1489340225,0.8495683521,0.9309882834,0.9996488583,1.0650316770,1.1539486953,1.2951171118,1.8391560790,0.9833485128,1.1672501325
173,2459782.7279928620,0.2930307604,0.9999994040,True,0.5007071902,1.2698808414,1.1509505806,,1.0505464722,1.0311670506,1.2859848813,1.0525388764,,1.1789100509,1.1633378088,0.7481427341,0.9325565509,1.7185647368,0.8927612951,0.8269710986,1.8961982935,1.6610624003,1.3186154487,1.0362581913,1.1119890524,,0.9373943446,0.9824609864,0.2521385617,0.9733997670,,0.8388322557,1.0450348729,0.8360410009,,0.9440827759,1.7963288772,1.0923803083,0.8627715329,1.1112723966,1.0113062129,1.0775600472,1.1589569052,1.1955918975,0.2629936864,1.1216829969,0.8799133260,1.0128214297
