bin_minutes,bins,median_points_per_bin,measured_robust_scatter_ppt,white_noise_expectation_ppt,beta
2.0000000000,117,2.0000000000,1.9328320391,1.7655741070,1.0947328868
5.0000000000,59,5.0000000000,1.4895229340,1.1166471112,1.3339244951
10.0000000000,30,9.0000000000,1.0725596720,0.8322996158,1.2886701515
15.0000000000,20,14.0000000000,0.6108713732,0.6673242869,0.9154040774
20.0000000000,15,18.0000000000,0.6240059356,0.5885247023,1.0602884350
30.0000000000,10,27.0000000000,1.3088962887,0.4805284073,2.7238687015
45.0000000000,7,41.0000000000,0.3967393345,0.3899500861,1.0174105575
60.0000000000,5,55.0000000000,0.2482061399,0.3366817719,0.7372128834
