image,slice,bjd_tdb,hours_since_first_image,relative_brightness_all_comparisons,relative_brightness_working_set,relative_brightness_error,sky_counts_per_pixel,star_width_pixels,airmass,working_comparison_counts,target_x_fits,target_y_fits,review_point,review_reason
TOI_3505.01_50.000s_R-0069_aligned.fits,69,2459782.6496356763,1.2336207703,1.0022968781,1.0018611964,0.0019128689,412.4898026545,21.9156261965,1.1328869766,5907557.8510736348,1842.3108933283,1744.1238281551,False,
TOI_3505.01_50.000s_R-0070_aligned.fits,70,2459782.6503884499,1.2516873367,1.0009933671,1.0000567825,0.0019059829,412.7868462113,21.1067266436,1.1311798781,5930311.3643206963,1846.9181024282,1743.0638731376,False,
TOI_3505.01_50.000s_R-0071_aligned.fits,71,2459782.6511416794,1.2697648443,1.0036828369,1.0013323736,0.0018596483,403.4831375160,21.2486412115,1.1294964899,6059205.3809980294,1847.6743802105,1744.1645141915,False,
TOI_3505.01_50.000s_R-0072_aligned.fits,72,2459782.6518941256,1.2878235541,1.0013396216,1.0000275866,0.0018288273,397.2593345543,20.6494049736,1.1278394031,6143656.5472374614,1846.0275719045,1745.4902188035,False,
TOI_3505.01_50.000s_R-0073_aligned.fits,73,2459782.6526460862,1.3058706075,0.9987105268,0.9967957913,0.0018258362,396.2861881238,21.4917327284,1.1262077440,6141780.1419431325,1848.0478351674,1744.9549946483,False,
TOI_3505.01_50.000s_R-0074_aligned.fits,74,2459782.6533985650,1.3239300996,1.0032461127,1.0028513302,0.0018077388,390.2713907266,21.5990114562,1.1245991848,6194067.9908668883,1847.4159815502,1745.0639171420,False,
TOI_3505.01_50.000s_R-0075_aligned.fits,75,2459782.6541513731,1.3419974931,1.0024307567,1.0014643876,0.0018031319,388.6499279769,21.9403012185,1.1230140161,6198664.4272473343,1846.6555692905,1745.4470069757,False,
TOI_3505.01_50.000s_R-0076_aligned.fits,76,2459782.6549045029,1.3600726090,0.9997214660,0.9995217019,0.0017877420,385.6271506313,20.5152658546,1.1214521373,6241989.7441654159,1846.0041982198,1744.8512943025,False,
TOI_3505.01_50.000s_R-0077_aligned.fits,77,2459782.6556575838,1.3781465515,0.9977678237,0.9964529795,0.0017914035,385.2145665254,22.4391110786,1.1199141837,6218832.6589268185,1857.4181796298,1743.0349713160,False,
TOI_3505.01_50.000s_R-0078_aligned.fits,78,2459782.6564107756,1.3962231539,1.0035055454,1.0035645545,0.0018129444,386.9478055137,22.5865805707,1.1183996888,6155013.0069473647,1850.9886679816,1743.5734903089,False,
