sector,best_period_days,best_duration_hours,best_depth_ppt,best_depth_error_ppt,best_snr,catalog_period_days,snr_at_catalog_period,best_period_difference_percent,peak_1_period_days,peak_1_snr,peak_2_period_days,peak_2_snr,peak_3_period_days,peak_3_snr,peak_4_period_days,peak_4_snr,peak_5_period_days,peak_5_snr
14,2.919228832414575,1.3199999999999998,3.8179019910404794,0.3788884573802727,10.076585645913802,2.9151556,9.505218221032594,0.1397260720688506,2.9205621404704383,10.076585645913802,1.459768736578068,7.939607506299368,3.897962109706273,7.111692103136109,2.5532270967419817,6.3653815706416355,3.648843170642017,6.325857981774367
41,2.9139438362924603,1.8479999999999999,2.498024343324881,0.19687815094907865,12.688174544929467,2.9151556,12.526530548537721,-0.04156771966270013,2.9139438362924603,12.688174544929467,1.4581389586831357,10.914068325191515,4.373454758411177,7.484330011426784,3.4246981093482707,6.910250800243842,3.641391614463982,6.662225313771962
54,2.915177907465513,1.8479999999999999,2.2146129683591735,0.26070511647744105,8.494704662042201,2.9151556,8.494704662042201,0.0007652238361827482,2.915177907465513,8.494704662042201,1.4573776243140009,6.054340907937342,3.4938003471038153,5.481921662941435,2.3373002917674186,5.404921423169065,1.166528668458042,5.389408216925716
81,2.914320096929708,1.8479999999999999,2.7107589227719635,0.23277098704198057,11.645604794737904,2.9151556,11.591216330672461,-0.028660668071783534,2.914320096929708,11.645604794737904,1.4576771037246703,8.449267921732003,4.374909860897455,6.609697173581727,3.6489007558650597,6.434592406318442,4.129280293639938,6.418719225015552
