frame,utc_midpoint,jd_utc,bjd_tdb,shift_x,shift_y,centroid_rms,background,target_x,target_y,header_shift_x,header_shift_y,registration_shift_x,registration_shift_y,flux_T1,flux_C2,flux_C3,flux_C4,flux_C5,flux_C6,flux_C7,flux_C8,flux_C9,flux_C10,flux_C11,flux_C12,flux_C13,flux_C14,flux_C15
TOI 3718.01-0024R_65.fit,2023-10-13T03:55:34.120,2460230.663589352,2460230.6677426705,-36.76605747385565,-61.95950240626689,0.5029749267653382,784.432861328125,1198.991594122801,1834.1488178170289,0.06954944614265986,22.087425534184536,-36.0,-64.0,395201.60041234316,389860.13206869306,479380.60282055323,411163.3569571889,311787.3906899112,785368.4958554851,669824.0727371479,418654.4939309128,349162.36780039594,353490.9211992349,586766.5825183499,650615.7792144365,465309.500789991,406284.92400452064,683284.6594333792
TOI 3718.01-0025R_65.fit,2023-10-13T03:56:51.820,2460230.6644886574,2460230.668642042,-37.561986719241304,-63.154308960525896,0.4098829543408377,783.0692138671875,1198.1422573325,1833.001425948671,0.07824312691063132,24.84835372600174,-36.0,-64.0,390525.78982416994,386348.40839878353,475205.7329540587,408183.8991025868,309481.75836488744,778721.9025256388,669904.3698447964,418284.4616150672,346811.1445373667,350777.50080661604,585413.6499932645,646091.4115691008,465041.99063102633,403767.6682177135,679055.8627852137
TOI 3718.01-0026R_65.fit,2023-10-13T03:58:09.500,2460230.6653877315,2460230.6695411825,-37.9235776481778,-66.39072513004282,0.48377201096097144,779.2649536132812,1197.7158034852202,1829.8496386979168,0.07824312691063132,24.84835372600174,-36.0,-68.0,397580.38316387485,390217.7596475445,482451.5663406494,412932.2411606554,314639.86739164975,789639.3112915137,676516.5562324845,424547.0530629235,356633.8196514748,355619.5980732029,593266.5164443405,654339.5699674805,471372.2277587836,410854.91915155284,689813.1465372327
TOI 3718.01-0027R_65.fit,2023-10-13T03:59:27.170,2460230.6662866897,2460230.6704402063,-38.987448929941365,-69.08440883131391,0.4998384684564842,771.8545532226562,1196.7250533551075,1826.9265160248883,0.08693680767838041,27.609281917748323,-40.0,-68.0,401824.6987380447,396643.2560300323,489986.1986667764,416000.79348802194,316672.954108829,796519.8676535256,686442.6251615236,427977.8584138347,359280.3511910449,356042.6587129021,601165.2933445835,662066.1421689868,475913.20462272735,414011.2869486646,694426.0317136606
TOI 3718.01-0028R_65.fit,2023-10-13T04:00:44.900,2460230.6671863426,2460230.6713399254,-41.82371353733129,-72.83074468510665,0.43007916071977303,771.075439453125,1193.9562767209998,1823.3854383167368,0.08693680767838041,27.609281917748323,-40.0,-72.0,402911.03956861177,398602.6632405205,491600.6194472703,419777.8541316524,317603.19586428546,801488.3576783327,690423.0871700639,430563.73121941346,360162.0274891105,360628.7573678513,603463.9941317181,666700.1179927625,475933.23482301936,417697.7707309867,701697.3621374819
TOI 3718.01-0029R_65.fit,2023-10-13T04:02:02.620,2460230.6680858796,2460230.6722395285,-42.64961613151377,-76.00624783776402,0.39717229336022647,760.9146728515625,1193.0443951789166,1820.1409801612674,0.08693680767838041,27.609281917748323,-40.0,-76.0,402476.1489213053,400090.54680412216,490274.3349208905,418257.3319936601,318799.4223660814,803321.7734447751,686758.1396544431,427761.1780900643,358337.9368714248,360332.9519283287,597543.502738843,659016.5434129713,476380.47720214655,415260.6212691411,701803.4086926876
TOI 3718.01-0030R_65.fit,2023-10-13T04:03:20.330,2460230.668985301,2460230.673139016,-43.47287963695021,-79.27176145232033,0.5055392328010483,759.6414184570312,1192.2522602821575,1816.7640738067496,0.0956304884461295,30.370210109494906,-44.0,-80.0,403362.01231273334,399277.552195976,490532.8775155883,418468.9120505648,320775.39672923775,802053.058273025,689422.9370121199,429668.8560601005,358228.6076995344,358647.47716055124,600610.7446229995,666452.6917813083,476823.6360660498,417289.6018528929,701269.4691027055
TOI 3718.01-0031R_65.fit,2023-10-13T04:04:38.120,2460230.6698856484,2460230.6740394295,-42.78557617062938,-80.5888903890816,0.4572831603594574,756.6085815429688,1192.8645654325016,1815.5761584423235,0.0956304884461295,30.370210109494906,-40.0,-80.0,403635.32361208857,400328.6628688839,491649.6544395966,419606.9094463687,317841.6388990121,802253.6760439632,690048.7521068975,427442.06579575187,359904.3845110405,359977.4633527994,600668.4033946857,666377.0122084313,477440.17904681107,417625.13969438686,701372.5167727834
TOI 3718.01-0032R_65.fit,2023-10-13T04:05:55.890,2460230.6707857638,2460230.674939611,-45.302893213681386,-83.95234119204224,0.5177353087969895,749.8683776855469,1190.5259417139362,1812.1832782900685,-31.12492127645812,30.468518175328867,-44.0,-84.0,405322.31062189944,399201.4745829073,490604.7613156093,419582.90876313485,319674.7518685644,803652.3524920997,692314.2273657331,435651.7039341737,361885.7283938342,361874.8807435945,605487.9112957747,669164.527689342,479291.7989919742,419582.2649192258,700827.0805459714
TOI 3718.01-0033R_65.fit,2023-10-13T04:07:13.660,2460230.6716858796,2460230.675839793,-46.20549359223833,-85.84963996593513,0.4593660130209181,745.197509765625,1189.3722192620023,1810.2857533842853,-31.116227595690148,33.229446367146075,-44.0,-88.0,408154.7063578875,405861.94989534665,498875.6697066546,424574.64350157464,322871.42780984414,812237.9033285935,697207.0783055825,436136.51380905346,363196.39605703217,366521.1130733603,609504.4958999114,671689.9407915273,484919.6932236381,423063.9309975257,710042.4831003246
