sector,pipeline,cycle,predicted_bjd,measured_bjd,time_error_days,observed_minus_calculated_minutes,depth_ppt,depth_error_ppt,depth_snr,points,full_local_window,reduced_chi2,residual_scatter_ppt,cadence_minutes,fitted_duration_hours,flat_fraction,window_coverage,used_in_ephemeris
14,QLP,-380,2458685.775257,2458685.7577569997,0.008749999999999997,-25.20000010728836,3.8139968587350026,0.9990282732365665,3.8177066264388504,19,True,0.28226274170145127,0.5111570415482302,29.999999999999993,2.4000000000000004,0.3783838402533266,0.989583333333333,True
14,QLP,-379,2458688.6904126,2458688.6804126003,0.005000000000000001,-14.399999678134918,4.955339428690136,0.9948044770122142,4.981219468948263,19,True,0.5324813701026196,0.9432998998161631,29.999999999999993,2.4000000000000004,0.3783838402533266,0.989583333333333,True
14,QLP,-376,2458697.4358794,2458697.3753794,0.010000000000000002,-87.12000019848347,-6.329300150423938,2.339622868229384,-2.705265124722398,7,False,0.3460713546643212,0.2697511865686289,29.999999999999993,2.4000000000000004,0.3783838402533266,0.3645833333333332,False
14,QLP,-375,2458700.351035,2458700.3525349996,0.0075,2.1599996834993362,4.783578480090857,0.9837125642133083,4.862780708627389,20,True,0.866974863788747,0.7236679314977997,29.999999999999993,2.4000000000000004,0.3783838402533266,1.0416666666666663,True
14,QLP,-374,2458703.2661906,2458703.2771906,0.014249999999999999,15.839999914169312,4.354352793429746,1.8070422042074625,2.4096574962616826,11,False,0.16355198776529714,0.38492694654396703,29.999999999999993,2.4000000000000004,0.3783838402533266,0.5729166666666665,False
14,QLP,-372,2458709.0965017998,2458709.1050017998,0.0085,12.239999994635582,3.797704956761535,0.9923055173739231,3.827152918399499,19,True,0.9692539330578747,1.4183725217020924,29.999999999999993,2.4000000000000004,0.3783838402533266,0.989583333333333,True
41,QLP,-128,2459420.3944682,2459420.3904681997,0.009249999999999998,-5.7600002735853195,2.109119367566809,0.8153772016614711,2.5866793470176943,58,True,1.4442723475967667,2.475613369443613,10.0,2.7,0.3783838402533266,1.0069444444444442,True
41,QLP,-127,2459423.3096237998,2459423.3101238,0.003999999999999997,0.7200001180171967,4.813506896267169,0.6784891321310866,7.094449517781195,58,True,0.920825923472405,1.6387561103633566,10.0,2.7,0.3783838402533266,1.0069444444444442,True
41,QLP,-126,2459426.2247794,2459426.1567794,0.07,-97.91999995708466,346.9508063059733,537.7199482140803,0.6452258419243974,13,True,0.8367431958096041,1.7371446637944845,10.0,2.7,0.3783838402533266,0.22569444444444442,False
41,QLP,-125,2459429.139935,2459429.1414349996,0.003999999999999997,2.1599996834993362,4.812369036751081,0.6802043328498784,7.074887360079747,57,True,0.6275517755779672,1.2873029147032282,10.0,2.7,0.3783838402533266,0.9895833333333331,True
41,QLP,-124,2459432.0550905997,2459432.0505906,0.0050000000000000044,-6.4799997210502625,3.2870019005204845,0.6784634185229981,4.844773956532874,58,True,0.6974633230945897,1.5427531581457183,10.0,2.7,0.3783838402533266,1.0069444444444442,True
41,QLP,-123,2459434.9702462,2459434.9732462,0.009750000000000002,4.320000037550926,3.3122264836983284,0.7648107531814424,4.330779176312838,58,True,1.2706502328144635,2.0350597713587284,10.0,2.7,0.3783838402533266,1.0069444444444442,True
41,QLP,-122,2459437.8854018,2459437.8859018,0.004749999999999997,0.7200001180171967,3.932697198498606,0.6784809553229886,5.796326584622348,58,True,0.6583368399296397,1.6886536894911481,10.0,2.7,0.3783838402533266,1.0069444444444442,True
41,QLP,-121,2459440.8005574,2459440.8010574,0.006499999999999999,0.7200001180171967,2.4384833149068954,0.6802066082567378,3.58491564960879,57,True,0.8776740065450277,1.5230710250431212,10.0,2.7,0.3783838402533266,0.9895833333333331,True
41,QLP,-120,2459443.715713,2459443.701713,0.006499999999999999,-20.159999951720238,3.1139136480247935,0.6817944349506043,4.5672324213828395,57,True,0.9840612675780268,1.621208446425886,10.0,2.7,0.3783838402533266,0.9895833333333331,True
54,SPOC,-8,2459770.2131402,2459770.211750622,0.002952853598014893,-2.0009922981262207,3.2896988978769657,0.3538680551476263,9.296399745675187,288,True,1.0009535051786358,2.1945095460158193,2.0,2.75,0.3783838402533266,1.0,True
54,SPOC,-7,2459773.1282957997,2459773.1267325245,0.002952853598014893,-2.2511163353919983,3.2132275528865466,0.3701099218053755,8.681819544887103,288,True,0.9853117392879829,2.368490467968453,2.0,2.75,0.3783838402533266,1.0,True
54,SPOC,-6,2459776.0434514,2459776.053525842,0.004950372208436728,14.507196173071861,2.343353200928735,0.438842842576395,5.339846007675965,279,True,1.053644415018787,2.621680715725294,2.0,2.75,0.3783838402533266,0.96875,True
54,SPOC,-5,2459778.958607,2459778.956348935,0.0032133995037220905,-3.2516131550073624,3.3456629324464315,0.4107090948473964,8.146064877597976,288,True,0.8909573625379035,2.503555302221394,2.0,2.75,0.3783838402533266,1.0,True
54,SPOC,-4,2459781.8737625997,2459781.867509498,0.0029528535980148894,-9.0044666826725,3.668359555458928,0.3891088252655918,9.427592789639341,288,True,1.1653444785097886,2.5773964592735137,2.0,2.75,0.3783838402533266,1.0,True
54,SPOC,-3,2459784.7889182,2459784.78127552,0.003126550868486351,-11.005458980798721,3.2187065167018476,0.3573284166983212,9.0076981462666,288,True,0.8911145149919847,1.8658217021814674,2.0,2.75,0.3783838402533266,1.0,True
54,SPOC,-2,2459787.7040738,2459787.70598447,0.004255583126550874,2.751365080475807,3.3059419425354,0.3826433476787292,8.639747594177695,288,True,1.0501664767470802,2.246843500619995,2.0,2.75,0.3783838402533266,1.0,True
54,SPOC,-1,2459790.6192294,2459790.614713271,0.003387096774193552,-6.503225639462471,3.198372182753401,0.40689658097888237,7.860405646710003,288,True,0.9131668048537046,1.9851373714443996,2.0,2.75,0.3783838402533266,1.0,True
54,SPOC,0,2459793.534385,2459793.5284792925,0.003995037220843677,-8.504218608140945,3.2798092794605997,0.39344156972962785,8.336204234124212,288,True,0.9988304866689801,2.534836746093097,2.0,2.75,0.3783838402533266,1.0,True
81,SPOC,245,2460507.747507,2460507.73986432,0.0033870967741935452,-11.005458980798721,3.3683152568180015,0.34303985775200235,9.819020095481427,288,True,0.8794838647939373,1.8848268175610645,2.000000000000016,2.8499999999999996,0.3783838402533266,1.000000000000008,True
81,SPOC,246,2460510.6626625997,2460510.6605782323,0.001997518610421835,-3.0014891177415848,3.8401042314792497,0.3429482442307831,11.197328740062293,288,True,0.8836876104445488,1.9956407999216432,2.000000000000016,2.8499999999999996,0.3783838402533266,1.000000000000008,True
81,SPOC,247,2460513.5778182,2460513.554716463,0.0027791563275434243,-33.26650097966194,23.956356987099948,6.134888334471791,3.9049377398590535,133,True,0.9565593471919358,1.9619152164017089,2.000000000000016,2.8499999999999996,0.3783838402533266,0.4618055555555592,False
81,SPOC,248,2460516.4929738,2460516.542303825,0.05367245657568239,71.03523597121239,1.2173995155605433,1.0230604237515735,1.189958566764147,132,False,0.9874914236115769,2.6767522226123224,2.000000000000016,2.8499999999999996,0.3783838402533266,0.458333333333337,False
81,SPOC,250,2460522.323285,2460522.318595174,0.00251861042183623,-6.753349676728249,3.983863658812976,0.343073727866645,11.61226679637075,288,True,0.9004735003878365,1.9960411714419333,2.000000000000016,2.8499999999999996,0.3783838402533266,1.000000000000008,True
81,SPOC,251,2460525.2384405998,2460525.229408342,0.0026923076923076918,-13.006451278924942,3.62621927201658,0.34476236401982685,10.518025313830487,288,True,0.9002911567433467,2.084872269326643,2.000000000000016,2.8499999999999996,0.3783838402533266,1.000000000000008,True
81,SPOC,252,2460528.1535962,2460528.152206622,0.0043424317617866,-2.0009922981262207,3.170488651251986,0.34662891373367893,9.146636433474006,288,True,0.9781906375534558,2.0135495127156933,2.000000000000016,2.8499999999999996,0.3783838402533266,1.000000000000008,True
81,SPOC,253,2460531.0687518,2460531.0654515517,0.004863523573200995,-4.752357378602028,3.1285759672653466,0.36085297222587814,8.669946510256247,288,True,0.9419385396913114,2.3182451789729557,2.000000000000016,2.8499999999999996,0.3783838402533266,1.000000000000008,True
