image,slice,bjd_tdb,hours_since_first_image,astroimagej_35px_relative_brightness,photutils_20px_relative_brightness,photutils_25px_relative_brightness,photutils_30px_relative_brightness,photutils_35px_relative_brightness,photutils_40px_relative_brightness,photutils_45px_relative_brightness,photutils_50px_relative_brightness
TOI_3505.01_50.000s_R-0027_aligned.fits,27,2459782.6180027309,0.4744300805,1.0050607115,1.0040248257,1.0041014286,1.0034290079,1.0046262981,1.0059404114,1.0075141651,1.0061193772
TOI_3505.01_50.000s_R-0028_aligned.fits,28,2459782.6187564600,0.4925195798,1.0017509058,1.0034321400,1.0030883630,1.0027213085,1.0026300735,1.0023521891,1.0023965716,1.0031094734
TOI_3505.01_50.000s_R-0029_aligned.fits,29,2459782.6195099610,0.5106036030,1.0078369828,1.0074611463,1.0061127164,1.0068406519,1.0076830518,1.0074876562,1.0085252663,1.0079689317
TOI_3505.01_50.000s_R-0030_aligned.fits,30,2459782.6202637255,0.5286939517,1.0035647100,1.0040300629,1.0021169796,1.0029123299,1.0038702823,1.0053716540,1.0060012610,1.0070282150
TOI_3505.01_50.000s_R-0031_aligned.fits,31,2459782.6210173583,0.5467811376,1.0045337023,1.0064348813,1.0043741879,1.0027235393,1.0039046539,1.0039916540,1.0032036130,1.0042686409
TOI_3505.01_50.000s_R-0032_aligned.fits,32,2459782.6217716765,0.5648847744,0.9997731118,1.0006383358,1.0007380779,0.9999195657,0.9995826954,1.0000776693,1.0008130557,0.9994665307
TOI_3505.01_50.000s_R-0033_aligned.fits,33,2459782.6225253418,0.5829727426,1.0029772979,1.0038579151,1.0028424699,1.0026990024,1.0032211340,1.0041566117,1.0030476837,1.0035148436
TOI_3505.01_50.000s_R-0034_aligned.fits,34,2459782.6232786886,0.6010530666,0.9996301751,0.9986276144,0.9993433354,0.9992098928,0.9991045770,0.9983399687,0.9989738725,0.9984067871
TOI_3505.01_50.000s_R-0035_aligned.fits,35,2459782.6240319675,0.6191317588,1.0044025743,1.0066877046,1.0058606583,1.0051872681,1.0043437434,1.0051529729,1.0037923219,1.0037049843
TOI_3505.01_50.000s_R-0036_aligned.fits,36,2459782.6247849604,0.6372035891,1.0045353992,1.0064487236,1.0045106475,1.0034138990,1.0045480054,1.0050828750,1.0059228880,1.0067445196
TOI_3505.01_50.000s_R-0037_aligned.fits,37,2459782.6255383315,0.6552844942,1.0013186163,1.0015259522,1.0014795887,1.0008186144,1.0017970796,1.0010383604,1.0004110688,0.9996014120
TOI_3505.01_50.000s_R-0038_aligned.fits,38,2459782.6262915782,0.6733624153,1.0047879024,1.0052745009,1.0037511069,1.0035035431,1.0041047245,1.0044819659,1.0060311029,1.0046808597
TOI_3505.01_50.000s_R-0039_aligned.fits,39,2459782.6270446549,0.6914362572,0.9970466713,0.9976912614,0.9972206691,0.9967624506,0.9968446475,0.9953280579,0.9956007696,0.9957812702
TOI_3505.01_50.000s_R-0040_aligned.fits,40,2459782.6277982686,0.7095229849,0.9985341977,1.0005415099,0.9999137892,0.9992624325,0.9990251233,0.9984377852,0.9998413045,0.9992329309
TOI_3505.01_50.000s_R-0041_aligned.fits,41,2459782.6285510119,0.7275888249,1.0052282508,1.0044062860,1.0059525276,1.0041341787,1.0046540058,1.0052214004,1.0065872795,1.0059683817
TOI_3505.01_50.000s_R-0042_aligned.fits,42,2459782.6293042083,0.7456655391,0.9998512817,1.0005170006,1.0003943285,0.9990316564,0.9992729874,0.9989074604,0.9996694777,0.9993171700
TOI_3505.01_50.000s_R-0043_aligned.fits,43,2459782.6300575892,0.7637466788,1.0017254126,1.0025186311,1.0014632729,1.0008774133,1.0016773743,1.0007863161,1.0009222302,1.0034473278
TOI_3505.01_50.000s_R-0044_aligned.fits,44,2459782.6308108456,0.7818248346,1.0024812719,1.0046100152,1.0030207657,1.0029068601,1.0028688590,1.0007503677,1.0005157605,0.9999856524
TOI_3505.01_50.000s_R-0045_aligned.fits,45,2459782.6315640048,0.7999006547,1.0020612505,1.0016327346,1.0017500037,1.0010642797,1.0015636998,1.0014083350,1.0026151360,1.0025627598
TOI_3505.01_50.000s_R-0046_aligned.fits,46,2459782.6323167402,0.8179663047,1.0014084067,1.0032765487,1.0026705648,1.0023092727,1.0020058552,1.0023845875,1.0008045709,0.9999978275
TOI_3505.01_50.000s_R-0047_aligned.fits,47,2459782.6330703092,0.8360519595,1.0018826460,1.0011750918,1.0004303339,0.9998917105,1.0012979477,1.0027211280,1.0036387514,1.0037185754
TOI_3505.01_50.000s_R-0048_aligned.fits,48,2459782.6338234944,0.8541284055,1.0008111310,0.9999812368,0.9999694065,1.0004833810,1.0000899329,0.9982023069,1.0006558721,1.0012959835
TOI_3505.01_50.000s_R-0049_aligned.fits,49,2459782.6345768599,0.8722091764,1.0054430433,1.0032506066,1.0026075976,1.0044297648,1.0049138032,1.0068256879,1.0096689501,1.0100850585
TOI_3505.01_50.000s_R-0050_aligned.fits,50,2459782.6353294998,0.8902725354,0.9935631498,0.9952643499,0.9942638682,0.9944143547,0.9929038965,0.9925201536,0.9912206112,0.9914561277
TOI_3505.01_50.000s_R-0051_aligned.fits,51,2459782.6360830753,0.9083583467,1.0053792530,1.0035708103,1.0050804113,1.0044639897,1.0057389433,1.0054095907,1.0063578560,1.0071095535
TOI_3505.01_50.000s_R-0052_aligned.fits,52,2459782.6368365102,0.9264407828,0.9948390847,0.9997686891,0.9976614116,0.9967969461,0.9957178625,0.9947481440,0.9963988568,0.9972412119
TOI_3505.01_50.000s_R-0053_aligned.fits,53,2459782.6375896996,0.9445173293,0.9975789009,0.9972095867,0.9964735969,0.9967024940,0.9978433254,0.9964505487,0.9967072872,0.9967735799
TOI_3505.01_50.000s_R-0054_aligned.fits,54,2459782.6383427386,0.9625902660,1.0020323780,0.9980316023,0.9991260217,1.0003276928,1.0012876304,0.9997672032,0.9997335387,1.0011628586
TOI_3505.01_50.000s_R-0055_aligned.fits,55,2459782.6390960058,0.9806686789,0.9994984188,0.9971240020,0.9987180150,0.9998140902,1.0000000000,1.0003222975,1.0001709319,0.9994327462
TOI_3505.01_50.000s_R-0056_aligned.fits,56,2459782.6398489238,0.9987387098,1.0042506766,1.0024078440,1.0032776063,1.0039611064,1.0041748392,1.0033635927,1.0030005235,1.0032078732
TOI_3505.01_50.000s_R-0057_aligned.fits,57,2459782.6406018622,1.0168092325,0.9943532365,0.9946918449,0.9933803585,0.9937781316,0.9935906840,0.9934345440,0.9941354435,0.9949608955
TOI_3505.01_50.000s_R-0058_aligned.fits,58,2459782.6413543285,1.0348684229,1.0036338364,1.0034131024,1.0036744216,1.0036861368,1.0033270103,1.0031222305,1.0032484663,1.0022677854
