image,slice,bjd_tdb,hours_since_first_image,astroimagej_35px_relative_brightness,photutils_20px_relative_brightness,photutils_25px_relative_brightness,photutils_30px_relative_brightness,photutils_35px_relative_brightness,photutils_40px_relative_brightness,photutils_45px_relative_brightness,photutils_50px_relative_brightness
TOI_3505.01_50.000s_R-0130_aligned.fits,130,2459782.6955639157,2.3358985148,1.0297459805,1.0154109413,1.0246617163,1.0236458737,1.0312922565,1.0492655227,1.0437305404,1.0474839594
TOI_3505.01_50.000s_R-0131_aligned.fits,131,2459782.6963179847,2.3539961725,1.0029098996,1.0016750950,1.0005118959,1.0018671016,1.0017789124,1.0022666429,1.0036107190,1.0023805587
TOI_3505.01_50.000s_R-0132_aligned.fits,132,2459782.6970712738,2.3720751107,0.9950174302,0.9941490903,0.9945143138,0.9937301904,0.9939532730,0.9928871907,0.9922212924,0.9904101785
TOI_3505.01_50.000s_R-0133_aligned.fits,133,2459782.6978248958,2.3901620395,1.0035858437,1.0056186987,1.0032031417,1.0026981396,1.0037846107,1.0026493697,1.0032814754,1.0048709001
TOI_3505.01_50.000s_R-0134_aligned.fits,134,2459782.6985779367,2.4082350209,0.9946172008,0.9950847761,0.9940762634,0.9934694787,0.9937954727,0.9922264189,0.9903225878,0.9922168019
TOI_3505.01_50.000s_R-0135_aligned.fits,135,2459782.6993383258,2.4264843576,1.0032865208,0.9988860476,0.9987443115,1.0007908701,1.0036499827,1.0049265756,1.0051046343,1.0074366746
TOI_3505.01_50.000s_R-0136_aligned.fits,136,2459782.7000936135,2.4446112625,0.9983378298,0.9959021698,0.9943919189,0.9971520236,0.9975443021,0.9975842045,0.9998362670,1.0007311473
TOI_3505.01_50.000s_R-0137_aligned.fits,137,2459782.7008470711,2.4626942463,0.9970694599,0.9977240498,0.9963371354,0.9985464948,0.9990674324,0.9971530941,0.9983806039,1.0032335855
TOI_3505.01_50.000s_R-0138_aligned.fits,138,2459782.7016101852,2.4810089841,0.9967753666,0.9913844502,0.9929603599,0.9958275316,0.9964287368,1.0007567195,1.0027119338,1.0093671944
TOI_3505.01_50.000s_R-0139_aligned.fits,139,2459782.7023696420,2.4992359467,0.9889302171,0.9903428081,0.9880546549,0.9892757859,0.9889700918,0.9869196610,0.9861139716,0.9866638488
TOI_3505.01_50.000s_R-0140_aligned.fits,140,2459782.7031324874,2.5175442360,1.0036543505,0.9999157122,1.0024098111,1.0013648249,1.0032039645,1.0041211418,1.0034365438,1.0055071803
TOI_3505.01_50.000s_R-0141_aligned.fits,141,2459782.7038899334,2.5357229412,1.0059343452,1.0056550025,1.0037839932,1.0048124180,1.0058023370,1.0067719871,1.0076114685,1.0071631881
TOI_3505.01_50.000s_R-0142_aligned.fits,142,2459782.7046428472,2.5537928715,0.9966603048,0.9998485577,1.0003624290,0.9999843740,0.9969493547,0.9938732726,0.9945314486,0.9938618483
TOI_3505.01_50.000s_R-0143_aligned.fits,143,2459782.7054009773,2.5719879940,0.9964394399,0.9993774244,0.9999321739,0.9976036170,0.9965180781,0.9965715381,1.0011146988,0.9999450096
TOI_3505.01_50.000s_R-0144_aligned.fits,144,2459782.7061556340,2.5900997557,1.0032882344,1.0000912556,1.0002611446,1.0019627804,1.0023128277,1.0016042562,1.0041127582,1.0071518806
TOI_3505.01_50.000s_R-0145_aligned.fits,145,2459782.7069090409,2.6081815213,0.9951131855,0.9967647333,0.9960210493,0.9947750509,0.9950449813,0.9943722850,0.9962546897,0.9942670036
TOI_3505.01_50.000s_R-0146_aligned.fits,146,2459782.7076630625,2.6262780391,1.0104713671,1.0062555981,1.0076908157,1.0082889937,1.0097206378,1.0098419857,1.0114103291,1.0122907563
TOI_3505.01_50.000s_R-0147_aligned.fits,147,2459782.7084165383,2.6443614587,1.0051240465,1.0014294067,1.0035499258,1.0050113495,1.0050266499,1.0051510861,1.0049113232,1.0031192138
TOI_3505.01_50.000s_R-0148_aligned.fits,148,2459782.7091704095,2.6624543667,1.0024112544,1.0003022182,1.0015057934,1.0017080240,1.0025975076,1.0014789661,1.0020927988,1.0030606990
TOI_3505.01_50.000s_R-0149_aligned.fits,149,2459782.7099231686,2.6805205867,1.0028409170,1.0038563969,1.0040569384,1.0034288417,1.0038468188,1.0053554432,1.0061899349,1.0055562889
TOI_3505.01_50.000s_R-0150_aligned.fits,150,2459782.7106763357,2.6985965967,0.9958842921,0.9967599181,0.9983827414,0.9979861258,0.9963148490,0.9956109100,0.9952523076,0.9965784942
TOI_3505.01_50.000s_R-0151_aligned.fits,151,2459782.7114293799,2.7166696563,1.0020596300,1.0006167199,1.0004567470,1.0019629374,1.0020370075,1.0017164985,1.0011377704,0.9996141679
TOI_3505.01_50.000s_R-0152_aligned.fits,152,2459782.7121820669,2.7347341441,0.9987129606,0.9986907238,0.9988784504,0.9992131468,0.9994066097,1.0009948700,0.9997731167,0.9985854486
TOI_3505.01_50.000s_R-0153_aligned.fits,153,2459782.7129347818,2.7527993023,0.9988853966,1.0002479171,0.9999159677,0.9999183431,0.9992438387,1.0000075988,0.9991132691,0.9974197892
TOI_3505.01_50.000s_R-0154_aligned.fits,154,2459782.7136881002,2.7708789445,1.0015723952,1.0021914887,1.0014607171,1.0015799856,1.0014115595,1.0006172138,0.9998318769,0.9994866271
TOI_3505.01_50.000s_R-0155_aligned.fits,155,2459782.7144411867,2.7889530212,1.0005827832,1.0023626835,1.0010680530,1.0005220685,1.0003987002,1.0010235757,1.0019873155,1.0019406222
TOI_3505.01_50.000s_R-0156_aligned.fits,156,2459782.7151942407,2.8070263155,0.9990341341,1.0006150003,0.9993804768,0.9992915336,0.9984653994,0.9981773471,0.9984951550,0.9970867987
TOI_3505.01_50.000s_R-0157_aligned.fits,157,2459782.7159470404,2.8250935078,0.9999311756,1.0001222616,0.9999721460,0.9992146638,0.9998102229,0.9990802444,0.9998556547,0.9989123936
TOI_3505.01_50.000s_R-0158_aligned.fits,158,2459782.7166993860,2.8431498036,1.0010140828,1.0003627579,1.0011665980,1.0011010205,1.0007246188,1.0011101101,1.0013222830,1.0009199094
TOI_3505.01_50.000s_R-0159_aligned.fits,159,2459782.7174525233,2.8612250984,1.0009033080,0.9993581606,1.0000000000,0.9995524643,0.9994345070,0.9985273247,0.9989909674,0.9995893019
TOI_3505.01_50.000s_R-0160_aligned.fits,160,2459782.7182062040,2.8793134354,1.0019948291,0.9990994376,1.0005555892,1.0007270200,1.0022011741,1.0014910273,1.0017530806,1.0000219566
TOI_3505.01_50.000s_R-0161_aligned.fits,161,2459782.7189587019,2.8973733857,0.9978954087,0.9992018269,0.9999874467,0.9988359873,0.9978813714,0.9966186574,0.9960651244,0.9947101285
TOI_3505.01_50.000s_R-0162_aligned.fits,162,2459782.7197117265,2.9154459760,1.0012258187,1.0018856740,1.0007809253,1.0009605919,1.0005846480,1.0013007276,1.0017149379,0.9999774016
TOI_3505.01_50.000s_R-0163_aligned.fits,163,2459782.7204649015,2.9335221760,1.0009269127,1.0003346315,1.0002682843,1.0009457876,1.0007769400,0.9993401201,0.9993376918,0.9987592246
TOI_3505.01_50.000s_R-0164_aligned.fits,164,2459782.7212174460,2.9515832439,1.0009621918,1.0041380504,1.0032660443,1.0028942085,1.0008930821,1.0010685317,1.0013371649,0.9985226870
TOI_3505.01_50.000s_R-0165_aligned.fits,165,2459782.7219702462,2.9696504474,0.9998976835,1.0010403611,0.9998281827,0.9996225960,0.9997938437,0.9990039278,0.9997044898,1.0003268046
TOI_3505.01_50.000s_R-0166_aligned.fits,166,2459782.7227233690,2.9877253957,1.0027374076,1.0025222955,1.0024451275,1.0023915128,1.0023422290,1.0014417434,1.0017637783,1.0013898142
TOI_3505.01_50.000s_R-0167_aligned.fits,167,2459782.7234762423,3.0057943538,0.9981993651,1.0012926691,1.0003276741,0.9991517956,0.9988451103,0.9972819017,0.9974799353,0.9961994088
TOI_3505.01_50.000s_R-0168_aligned.fits,168,2459782.7242292752,3.0238671452,1.0006640494,1.0016142358,1.0004470187,1.0003055286,1.0011582175,1.0013792317,1.0013332721,1.0000896019
TOI_3505.01_50.000s_R-0169_aligned.fits,169,2459782.7249825085,3.0419447422,0.9984980627,0.9995178637,0.9991473495,0.9991806016,0.9983767005,0.9976090817,0.9965526742,0.9973086401
TOI_3505.01_50.000s_R-0170_aligned.fits,170,2459782.7257356197,3.0600194111,0.9997413361,1.0006147013,1.0006454974,1.0006340582,0.9997166769,0.9999085030,0.9985366166,0.9974650643
TOI_3505.01_50.000s_R-0171_aligned.fits,171,2459782.7264877493,3.0780705214,1.0003412715,0.9994250920,1.0004639627,1.0012498978,0.9999519763,1.0015304624,1.0016583177,1.0014535074
TOI_3505.01_50.000s_R-0172_aligned.fits,172,2459782.7272400553,3.0961258672,1.0031260156,1.0019493097,1.0019601608,1.0024264469,1.0030735760,1.0038868382,1.0036102062,1.0046659977
TOI_3505.01_50.000s_R-0173_aligned.fits,173,2459782.7279928620,3.1141932271,0.9999294221,0.9989801728,0.9995657677,1.0005837226,1.0002394353,0.9982964079,0.9984854222,0.9977923070
TOI_3505.01_50.000s_R-0174_aligned.fits,174,2459782.7287457399,3.1322622970,1.0020760968,1.0021754358,1.0013495789,1.0022398201,1.0023828103,1.0034424698,1.0029774017,1.0015352832
TOI_3505.01_50.000s_R-0175_aligned.fits,175,2459782.7294984516,3.1503273770,1.0006804154,1.0011048632,1.0009122672,1.0014816680,1.0001939564,0.9986108779,0.9970878881,0.9971310936
TOI_3505.01_50.000s_R-0176_aligned.fits,176,2459782.7302514496,3.1683993302,0.9981275981,0.9988069963,0.9986386692,0.9978182396,0.9985088354,0.9974335724,0.9972043373,0.9970626000
TOI_3505.01_50.000s_R-0177_aligned.fits,177,2459782.7310045240,3.1864731163,0.9974827314,0.9972754961,0.9969659620,0.9973653342,0.9975633904,0.9959867377,0.9956156621,0.9954489878
TOI_3505.01_50.000s_R-0178_aligned.fits,178,2459782.7317572888,3.2045394704,0.9994264301,0.9990902085,0.9992634948,0.9994281624,0.9994036591,0.9995504828,1.0001861716,0.9997604565
TOI_3505.01_50.000s_R-0179_aligned.fits,179,2459782.7325102086,3.2226095460,1.0000068265,0.9993866727,1.0008256542,1.0014958595,0.9999497188,0.9995883932,1.0005194175,1.0000099793
TOI_3505.01_50.000s_R-0180_aligned.fits,180,2459782.7332626660,3.2406685241,0.9991288227,0.9984915086,0.9989431203,0.9992687983,0.9986107501,0.9990369283,0.9991506245,0.9978023983
TOI_3505.01_50.000s_R-0181_aligned.fits,181,2459782.7340161237,3.2587515078,0.9971109169,0.9972996866,0.9964544965,0.9965219628,0.9969879383,0.9956806775,0.9952628949,0.9944376462
TOI_3505.01_50.000s_R-0182_aligned.fits,182,2459782.7347689266,3.2768187784,1.0010796986,1.0000561787,1.0002040996,1.0007240171,1.0009594605,1.0005696307,1.0011558601,1.0011937340
TOI_3505.01_50.000s_R-0183_aligned.fits,183,2459782.7355222134,3.2948976606,0.9970901923,0.9970891047,0.9968546533,0.9968843004,0.9971388871,0.9961666338,0.9956307286,0.9963615835
TOI_3505.01_50.000s_R-0184_aligned.fits,184,2459782.7362753092,3.3129719608,0.9969227907,0.9992912921,0.9982720719,0.9974556897,0.9968996509,0.9957405695,0.9940104714,0.9932860797
TOI_3505.01_50.000s_R-0185_aligned.fits,185,2459782.7370285932,3.3310507759,0.9994535631,1.0006902536,0.9997035833,1.0000518399,0.9995791675,0.9988808255,0.9989522984,0.9974011674
TOI_3505.01_50.000s_R-0186_aligned.fits,186,2459782.7377808141,3.3491040766,1.0030129893,1.0034692370,1.0047394773,1.0049710763,1.0026423806,1.0014988639,1.0009704772,1.0010218413
TOI_3505.01_50.000s_R-0187_aligned.fits,187,2459782.7385334913,3.3671683297,0.9971998552,0.9968249407,0.9974619150,0.9976688572,0.9975416553,0.9980425991,0.9981869668,0.9987623997
TOI_3505.01_50.000s_R-0188_aligned.fits,188,2459782.7392867822,3.3852473125,1.0012591590,1.0007555150,1.0008314155,1.0018529463,1.0014064258,1.0020290017,1.0010430131,0.9985199715
TOI_3505.01_50.000s_R-0189_aligned.fits,189,2459782.7400401402,3.4033279046,1.0015134968,1.0009734595,1.0009864364,1.0010562153,1.0014281263,1.0018957156,1.0020028096,1.0025204150
TOI_3505.01_50.000s_R-0190_aligned.fits,190,2459782.7407929031,3.4213942140,1.0037977118,1.0016549558,1.0023207739,1.0030036552,1.0038609384,1.0034557418,1.0033783011,1.0042508148
TOI_3505.01_50.000s_R-0191_aligned.fits,191,2459782.7415451775,3.4394487999,1.0041705691,1.0014067596,1.0027092044,1.0028652564,1.0038504010,1.0037132297,1.0009579245,1.0000987086
TOI_3505.01_50.000s_R-0192_aligned.fits,192,2459782.7422982855,3.4575233907,0.9978140331,0.9975835760,0.9961716655,0.9972030021,0.9975109736,0.9971968769,0.9968639139,0.9961113562
TOI_3505.01_50.000s_R-0193_aligned.fits,193,2459782.7430506404,3.4755799100,1.0009811067,1.0003479331,1.0010945253,1.0005860594,1.0007564929,1.0007743137,1.0004794411,1.0001271243
TOI_3505.01_50.000s_R-0194_aligned.fits,194,2459782.7438030676,3.4936381616,1.0002474971,0.9985236109,0.9986227018,0.9999084812,1.0004240366,1.0003273249,1.0020409940,1.0029100645
TOI_3505.01_50.000s_R-0195_aligned.fits,195,2459782.7445556736,3.5117007047,1.0008874125,1.0009556613,1.0010793764,1.0008043320,1.0011692849,1.0018639402,1.0015466996,1.0015963976
TOI_3505.01_50.000s_R-0196_aligned.fits,196,2459782.7453087107,3.5297735967,1.0021163171,1.0004265642,1.0009600664,1.0018956029,1.0019672408,1.0009848089,1.0015367890,1.0032091125
TOI_3505.01_50.000s_R-0197_aligned.fits,197,2459782.7460613889,3.5478378721,1.0014400091,1.0007073077,1.0009394847,1.0009906732,1.0013617591,1.0029001622,1.0036420830,1.0041149081
TOI_3505.01_50.000s_R-0198_aligned.fits,198,2459782.7468153709,3.5659334399,0.9986628614,0.9997253911,0.9994552604,0.9987451050,0.9989805221,0.9983431853,0.9966745272,0.9959090468
TOI_3505.01_50.000s_R-0199_aligned.fits,199,2459782.7475679070,3.5839943066,0.9989608246,0.9990347940,0.9989686826,0.9992461770,0.9993193247,0.9981655156,0.9981829562,0.9992179713
TOI_3505.01_50.000s_R-0200_aligned.fits,200,2459782.7483209199,3.6020666175,0.9927624285,0.9953495823,0.9944217719,0.9929174114,0.9930136101,0.9919563188,0.9912833058,0.9906392839
TOI_3505.01_50.000s_R-0201_aligned.fits,201,2459782.7490735962,3.6201308481,0.9994884013,0.9994401893,0.9990827392,0.9997595036,0.9991160365,0.9974613082,0.9959191201,0.9963419746
TOI_3505.01_50.000s_R-0202_aligned.fits,202,2459782.7498263419,3.6381967440,1.0035331502,1.0032026820,1.0042519464,1.0029336018,1.0031445725,1.0027631167,1.0018452402,1.0016806101
TOI_3505.01_50.000s_R-0203_aligned.fits,203,2459782.7505788938,3.6562579907,0.9999979449,1.0024797055,1.0020144659,1.0017062285,0.9996806509,1.0004703245,1.0002111187,0.9994876266
TOI_3505.01_50.000s_R-0204_aligned.fits,204,2459782.7513317387,3.6743262671,1.0028053968,1.0039542241,1.0040113354,1.0028663736,1.0031099256,1.0043765027,1.0028511505,1.0046255992
TOI_3505.01_50.000s_R-0205_aligned.fits,205,2459782.7520842613,3.6923868097,1.0008385783,1.0009405952,1.0007160736,1.0007283935,1.0010290672,1.0003906522,0.9987607362,1.0001904242
TOI_3505.01_50.000s_R-0206_aligned.fits,206,2459782.7528368193,3.7104482017,1.0030331324,1.0026204417,1.0022337071,1.0031044620,1.0032244012,1.0031438659,1.0020284754,1.0018797756
TOI_3505.01_50.000s_R-0207_aligned.fits,207,2459782.7535894997,3.7285125330,1.0003472259,0.9994061125,1.0000011096,1.0008789502,1.0004052421,0.9996133748,0.9991183643,0.9987334667
TOI_3505.01_50.000s_R-0208_aligned.fits,208,2459782.7543420116,3.7465728186,0.9996073123,0.9998337085,1.0000397561,0.9995222287,0.9997983003,0.9997714678,1.0003633169,1.0002520937
TOI_3505.01_50.000s_R-0209_aligned.fits,209,2459782.7550954781,3.7646560147,1.0011167124,1.0001953083,1.0011579665,1.0019782073,1.0018423850,1.0010230748,1.0001642616,1.0008330591
TOI_3505.01_50.000s_R-0210_aligned.fits,210,2459782.7558484720,3.7827278674,0.9999871702,0.9994748468,1.0009214275,1.0005969632,1.0001465014,1.0005122178,1.0003460449,1.0009810638
TOI_3505.01_50.000s_R-0211_aligned.fits,211,2459782.7566008535,3.8007850237,1.0015330812,0.9993146452,0.9993109155,0.9994204193,1.0002866193,1.0014858242,1.0009349352,1.0012668431
TOI_3505.01_50.000s_R-0212_aligned.fits,212,2459782.7573540136,3.8188608661,0.9987233861,0.9997154139,0.9987459718,0.9987413475,0.9990564833,0.9980217092,0.9973935805,0.9980798774
TOI_3505.01_50.000s_R-0213_aligned.fits,213,2459782.7581184660,3.8372077234,1.0043295501,1.0035265364,1.0038432795,1.0043105719,1.0040714417,1.0035716841,1.0037086043,1.0025249326
TOI_3505.01_50.000s_R-0214_aligned.fits,214,2459782.7588714752,3.8552799448,1.0021747076,0.9999573394,1.0007116495,1.0018220058,1.0022502483,1.0026642191,1.0027292227,1.0014882848
TOI_3505.01_50.000s_R-0215_aligned.fits,215,2459782.7596239583,3.8733395375,0.9994511239,0.9983774986,0.9984790784,0.9981690637,0.9985602684,0.9977885360,0.9966721767,0.9968544397
TOI_3505.01_50.000s_R-0216_aligned.fits,216,2459782.7603768315,3.8914084956,0.9991343264,1.0004440754,1.0017549702,1.0003240902,0.9990601180,0.9984920167,0.9983637920,1.0002418507
TOI_3505.01_50.000s_R-0217_aligned.fits,217,2459782.7611298510,3.9094809629,0.9992744801,1.0006240385,0.9995924184,0.9989895820,0.9990488191,1.0007329588,0.9998875546,1.0005400480
TOI_3505.01_50.000s_R-0218_aligned.fits,218,2459782.7618830381,3.9275574535,1.0076157237,1.0079696000,1.0078743114,1.0073465668,1.0069938744,1.0076488763,1.0078680027,1.0083709140
TOI_3505.01_50.000s_R-0219_aligned.fits,219,2459782.7626361796,3.9456328489,0.9956873195,0.9948547477,0.9944008507,0.9952954138,0.9955980872,0.9954566167,0.9951327884,0.9953582442
TOI_3505.01_50.000s_R-0220_aligned.fits,220,2459782.7633886291,3.9636916369,1.0035194510,1.0021114835,1.0025522188,1.0036254356,1.0031989947,1.0027819517,1.0028818243,1.0031084714
TOI_3505.01_50.000s_R-0221_aligned.fits,221,2459782.7641416239,3.9817635119,1.0000796508,0.9998591547,0.9994340660,0.9990672240,1.0000640350,0.9989222243,0.9987476426,1.0003139582
TOI_3505.01_50.000s_R-0222_aligned.fits,222,2459782.7648947048,3.9998374544,1.0014804982,1.0021449653,1.0007573896,1.0020687753,1.0014794729,1.0020471652,1.0016238121,1.0016125015
TOI_3505.01_50.000s_R-0223_aligned.fits,223,2459782.7656475282,4.0179052167,0.9981025159,1.0011207178,0.9981819004,0.9977013810,0.9977635339,0.9989460257,0.9991400830,0.9991356030
TOI_3505.01_50.000s_R-0224_aligned.fits,224,2459782.7664007670,4.0359829478,0.9982716140,1.0007126647,0.9987491196,0.9988351578,0.9979370311,0.9998018270,0.9993956991,0.9964809708
TOI_3505.01_50.000s_R-0225_aligned.fits,225,2459782.7671540114,4.0540608130,0.9989985532,0.9988038371,0.9987574573,0.9993980059,0.9996168604,1.0004831578,1.0001211333,0.9983140973
TOI_3505.01_50.000s_R-0226_aligned.fits,226,2459782.7679064879,4.0721202493,1.0002104512,1.0002669918,1.0006277313,1.0003535978,1.0003039935,1.0002239794,0.9997461799,1.0000783985
TOI_3505.01_50.000s_R-0227_aligned.fits,227,2459782.7686598850,4.0902017802,0.9993727754,1.0000323307,0.9994736057,0.9995754620,0.9988503635,0.9988740826,0.9985534672,0.9975909196
TOI_3505.01_50.000s_R-0228_aligned.fits,228,2459782.7694134377,4.1082870439,0.9999704853,1.0000769541,0.9999007767,1.0000747171,1.0000539137,0.9997531714,1.0009028163,1.0009778973
TOI_3505.01_50.000s_R-0229_aligned.fits,229,2459782.7701664320,4.1263589077,1.0011113726,1.0015937817,1.0010518749,1.0004838648,1.0012286356,0.9997909809,1.0021929234,1.0023850631
TOI_3505.01_50.000s_R-0230_aligned.fits,230,2459782.7709195474,4.1444336772,1.0067575751,1.0050229762,1.0051204556,1.0063014332,1.0062825299,1.0054035477,1.0040734860,1.0027950097
TOI_3505.01_50.000s_R-0231_aligned.fits,231,2459782.7716841977,4.1627852842,1.0011178539,1.0023482301,1.0003985239,1.0007776208,1.0012886016,1.0012936945,1.0018408347,0.9996455419
TOI_3505.01_50.000s_R-0232_aligned.fits,232,2459782.7724372265,4.1808579750,1.0035837244,1.0021952152,1.0025836546,1.0034270701,1.0043252474,1.0044195529,1.0047159679,1.0027729602
TOI_3505.01_50.000s_R-0233_aligned.fits,233,2459782.7731901570,4.1989283077,0.9996158917,0.9991909018,0.9989340603,0.9994233764,0.9999908281,1.0001811085,0.9995884723,0.9979146029
TOI_3505.01_50.000s_R-0234_aligned.fits,234,2459782.7739435956,4.2170108333,1.0004610991,1.0057894721,1.0047438662,1.0024739709,0.9999591265,1.0001519850,1.0039122744,1.0044736918
TOI_3505.01_50.000s_R-0235_aligned.fits,235,2459782.7746966756,4.2350847535,0.9998689754,0.9938502982,0.9951316255,0.9966709506,0.9998041427,1.0006772765,1.0033329068,1.0034354609
TOI_3505.01_50.000s_R-0236_aligned.fits,236,2459782.7754508555,4.2531850711,0.9999882680,0.9960225639,0.9957476444,0.9972192803,0.9996209382,1.0006487356,1.0006653078,0.9980476980
TOI_3505.01_50.000s_R-0237_aligned.fits,237,2459782.7762046782,4.2712768167,1.0012203790,0.9975055011,0.9985842901,0.9998369537,1.0004773141,1.0002752131,0.9996157157,0.9991471171
TOI_3505.01_50.000s_R-0238_aligned.fits,238,2459782.7769582062,4.2893614881,1.0024404483,0.9994473011,1.0016929367,1.0021633168,1.0023802662,1.0017757958,1.0032823535,1.0051594610
TOI_3505.01_50.000s_R-0239_aligned.fits,239,2459782.7777132667,4.3074829392,0.9950040015,0.9932262248,0.9958519568,0.9968268961,0.9955661018,0.9942646617,0.9963501059,0.9962218627
TOI_3505.01_50.000s_R-0240_aligned.fits,240,2459782.7784713698,4.3256774135,0.9962953436,0.9952648319,0.9954119509,0.9968752790,0.9966490531,0.9954004887,0.9969408755,0.9977097666
TOI_3505.01_50.000s_R-0241_aligned.fits,241,2459782.7792286621,4.3438524306,0.9960800866,0.9939567546,0.9947691825,0.9957421161,0.9961103862,0.9953792836,0.9964143538,0.9960338403
TOI_3505.01_50.000s_R-0242_aligned.fits,242,2459782.7799883364,4.3620846123,1.0002011738,0.9954898803,0.9979037909,1.0009026556,1.0006530278,1.0015973563,0.9990041439,0.9997593564
TOI_3505.01_50.000s_R-0243_aligned.fits,243,2459782.7807455729,4.3802582882,0.9970249984,0.9889263457,0.9931497868,0.9953741998,0.9967809894,0.9997190145,0.9996040137,0.9976454214
TOI_3505.01_50.000s_R-0244_aligned.fits,244,2459782.7814999372,4.3983630314,0.9821363749,0.9841168739,0.9838428984,0.9830630622,0.9813858731,0.9780114458,0.9777641588,0.9775794391
TOI_3505.01_50.000s_R-0245_aligned.fits,245,2459782.7822548579,4.4164811298,1.0066732900,1.0112984558,1.0052029065,1.0056030034,1.0082806281,1.0117852453,1.0104083466,1.0035722773
TOI_3505.01_50.000s_R-0246_aligned.fits,246,2459782.7830085154,4.4345689081,1.0006646567,0.9942403979,0.9985702397,0.9988728993,0.9993182172,0.9974623594,0.9962171408,0.9941703541
TOI_3505.01_50.000s_R-0247_aligned.fits,247,2459782.7837648145,4.4527200870,0.9901282195,0.9873757979,0.9877886166,0.9892562569,0.9897975564,0.9913000053,0.9920962244,0.9896271403
TOI_3505.01_50.000s_R-0248_aligned.fits,248,2459782.7845243327,4.4709485248,0.9979153569,0.9946319865,0.9946076820,0.9964572079,0.9978026497,0.9981014021,0.9969465834,0.9954964436
TOI_3505.01_50.000s_R-0249_aligned.fits,249,2459782.7852845681,4.4891941734,0.9907528240,0.9937102898,0.9935463868,0.9933683408,0.9910996270,0.9916246968,0.9929520934,0.9942135884
TOI_3505.01_50.000s_R-0250_aligned.fits,250,2459782.7860405776,4.5073384009,0.9954184617,0.9958519869,0.9958414108,0.9956984631,0.9950229260,0.9945969327,0.9958860602,0.9962818174
TOI_3505.01_50.000s_R-0251_aligned.fits,251,2459782.7868010262,4.5255891681,0.9914931519,0.9911132271,0.9911990469,0.9934207693,0.9912511410,0.9925318816,0.9928348194,0.9887322313
TOI_3505.01_50.000s_R-0252_aligned.fits,252,2459782.7875607163,4.5438217297,0.9992185188,0.9987025564,0.9985488171,0.9985189975,1.0001494342,1.0001339188,0.9995306790,0.9958649460
TOI_3505.01_50.000s_R-0253_aligned.fits,253,2459782.7883201572,4.5620483123,0.9881894720,0.9876672901,0.9861897817,0.9873124368,0.9867430058,0.9851805919,0.9843824555,0.9844809917
TOI_3505.01_50.000s_R-0254_aligned.fits,254,2459782.7890817099,4.5803255774,0.9948332106,0.9965499948,0.9958919462,0.9955551455,0.9951130654,0.9974224860,0.9992152955,0.9975902141
TOI_3505.01_50.000s_R-0255_aligned.fits,255,2459782.7898395183,4.5985129774,1.0016510901,0.9983181878,0.9995472082,1.0016462451,1.0022148274,1.0018581068,1.0000000000,1.0018514014
TOI_3505.01_50.000s_R-0256_aligned.fits,256,2459782.7905998630,4.6167612523,1.0031836519,1.0008931280,1.0006534931,1.0013185021,1.0027982561,1.0017582481,1.0016291035,0.9978086840
TOI_3505.01_50.000s_R-0257_aligned.fits,257,2459782.7913538311,4.6348564848,1.0036700682,1.0015451696,1.0010382694,1.0022716133,1.0033154648,1.0040792102,1.0033664298,1.0003246786
TOI_3505.01_50.000s_R-0258_aligned.fits,258,2459782.7921076119,4.6529472247,0.9989329445,0.9974663616,0.9975140233,0.9985831397,0.9990256927,0.9995321339,0.9996321873,0.9950720557
TOI_3505.01_50.000s_R-0259_aligned.fits,259,2459782.7928616721,4.6710446700,0.9979358049,0.9983590598,0.9974943793,0.9985964895,0.9982852250,1.0018167384,1.0021737560,1.0016690016
TOI_3505.01_50.000s_R-0260_aligned.fits,260,2459782.7936161715,4.6891526543,0.9978436477,0.9988032057,0.9999085084,0.9990660667,0.9971845383,0.9964484345,0.9961310118,0.9939602018
TOI_3505.01_50.000s_R-0261_aligned.fits,261,2459782.7943770611,4.7074140050,0.9928257019,0.9916977188,0.9916046984,0.9916867729,0.9928339190,0.9954042315,0.9983570616,0.9981726068
TOI_3505.01_50.000s_R-0262_aligned.fits,262,2459782.7951350249,4.7256051376,0.9930235748,0.9928983535,0.9922596386,0.9924788780,0.9924411757,0.9954640675,0.9953391783,0.9938678220
TOI_3505.01_50.000s_R-0263_aligned.fits,263,2459782.7958915341,4.7437613569,0.9839091183,0.9879596673,0.9865606175,0.9856119522,0.9854403590,0.9879709181,0.9892289443,0.9891904825
TOI_3505.01_50.000s_R-0264_aligned.fits,264,2459782.7966453354,4.7618525885,0.9819488730,0.9843788813,0.9839931393,0.9848836279,0.9837690141,0.9837352778,0.9848306741,0.9861038425
TOI_3505.01_50.000s_R-0265_aligned.fits,265,2459782.7973991074,4.7799431160,0.9898412299,0.9907098908,0.9872444913,0.9892645259,0.9908653377,0.9924124053,0.9952616988,0.9952308345
TOI_3505.01_50.000s_R-0266_aligned.fits,266,2459782.7981529119,4.7980344258,0.9969229534,0.9910433663,0.9908728096,0.9962244764,0.9970793554,0.9944257398,0.9929020409,0.9892053562
TOI_3505.01_50.000s_R-0267_aligned.fits,267,2459782.7989072786,4.8161392249,1.0014599480,0.9965213894,0.9940231954,0.9984843566,0.9999372241,0.9997928839,0.9971842417,0.9974867606
