source,x_pixel,y_pixel,brightness_adu,width_pixels
1,948.7582305467917,1422.5858323154894,538894.9313354492,9.596729249071664
2,1277.522713755956,3071.4884887187777,486647.50439453125,9.794759557856866
3,3227.6424065863876,931.1947082935001,352867.2548828125,9.771198070968737
4,1404.760205872204,2186.9391029087847,350826.2391357422,9.557336235881156
5,2960.1458112767245,2844.3626955265513,317840.9811401367,9.749837883256273
6,718.5982750818529,620.4035094071348,298480.9600830078,9.410510463068814
7,2357.213525604572,1641.1341796027211,291034.21044921875,9.62381223561911
8,1853.068816278236,86.03491696583453,286652.72998046875,9.56096625593157
9,1176.5172036495865,2917.4306449241926,279539.2342529297,9.590552068001697
10,3167.6585000074356,182.5306887474709,279345.18518066406,9.56898955459298
11,1188.738089935477,2505.4323473504787,274691.13885498047,9.557648108111378
12,2133.3394261449484,2098.2935992872754,251979.0903930664,9.817989016093788
13,1197.9329072083697,1477.3464265127611,244723.15533447266,9.716006620644167
14,134.73463606540102,312.9958244132535,224375.86279296875,9.670478721923052
15,635.6352018905789,2369.1292392353957,215206.12567138672,9.48343056952222
16,65.81337588973338,2959.8180419402497,214167.0360107422,9.832630966015472
17,3156.3382087166324,3979.446812793559,213894.89532470703,9.724859812050612
18,1278.5001966759435,257.4585299046749,185139.6030883789,9.695540963624302
19,1698.3204364660332,568.9486904580881,181651.47161865234,9.610226293542523
20,1849.3878021465307,1741.9832722487924,168566.04333496094,9.672009597262525
21,2719.2592510350396,3166.128754942176,168239.1010131836,9.767022255177059
22,3392.555354825039,810.1771737346113,166966.5028076172,9.623437961630298
23,3516.6339296849956,27.07571883318322,156121.83471679688,9.594706888607236
24,658.0568375751934,3305.411825011581,155858.25817871094,9.665796931142722
25,3130.951149680145,1841.6673433121973,150019.41857910156,9.816863234342199
26,3898.0414083822434,1413.6713939000722,146095.83459472656,9.440421008905469
27,773.8099126567178,3797.9638549122387,142634.6176147461,9.589381395721484
28,2078.2059769097946,3252.4015809206303,134421.88244628906,9.748493320886803
29,3729.626539945815,4018.1775734564912,133499.9884033203,9.479557703020213
30,3331.327654838285,504.62362984260415,132307.40887451172,9.622069843485264
31,2306.4760399760453,1515.6249715528563,131838.58169555664,9.778109471484344
32,3101.3474015884817,2831.34969743797,130037.01318359375,9.6269477464257
33,3556.043125504438,179.4450330709125,126652.42761230469,9.76252082691699
34,642.3068199768953,364.9460069030061,123715.29705810547,9.626505755754717
35,3409.97196806292,3745.2793908206354,123666.45300292969,9.718039373052603
36,1044.4616743836948,475.09624176977195,122723.42895507812,9.738986154792123
37,2002.6881065825528,2779.1365819692014,122467.44177246094,9.676730814752432
38,2301.168840975308,1051.321857394379,119162.15173339844,9.620446561188944
39,2513.8892451425304,1963.7715931906723,118317.00903320312,9.801024607538329
40,1818.1251527908348,1608.27228283337,117874.57501220703,9.86200360852327
41,3567.2935001128635,2940.8912597758745,114168.98583984375,9.703737255357403
42,1551.090607487122,317.70804619273065,112552.74270629883,9.695551024352214
43,402.1856256556695,303.39506880503643,109093.71746826172,9.696911366473346
44,3068.229342759386,511.78823455765524,107865.72875976562,9.716215874212995
45,742.2642028191285,644.8236497329034,106314.25451660156,9.441007922169069
46,3288.718717036356,145.2805963966156,100348.89147949219,9.708460418958543
47,1672.033367976601,2240.1350540241197,100300.74877929688,9.526940340242755
48,423.4080326695279,2771.0130655900275,97858.62603759766,9.619995860524856
49,2182.7923482880437,3122.9345141147724,97381.81652832031,9.618437777412725
50,723.0524399765446,3858.267347553554,96724.14361572266,9.7378175917252
51,3402.449092213678,1703.797002457932,96034.13018798828,9.813603482891757
52,2463.5913782509697,3059.8484396287695,83452.54052734375,9.639409941777336
53,1097.129434513297,1651.2128398438047,80400.40798950195,9.746611681425453
54,2078.3289403391855,476.7785356199289,80155.74026489258,9.665905022277922
55,2772.114027853954,285.6931658263621,79846.84735107422,9.900176200184175
56,3174.569077763766,378.706561722131,78377.92825317383,9.71961500984946
57,2826.9015611703103,77.75114292004302,78145.59185791016,9.6085313996334
58,2953.842014941787,4008.4121894692757,76820.51690673828,9.57785110342518
59,3684.211134030131,768.3075924779253,76211.27966308594,9.470144032112977
60,3209.895116207356,862.6492983512913,75849.7456665039,9.640207315310352
61,2270.4527745645482,840.6119509862199,74794.49005126953,9.399744434186758
62,3252.8716421809695,750.2724470997471,73287.90908813477,9.721012262021523
63,3315.9467061244973,3791.0392770635963,72849.5825805664,9.72768327537311
64,3209.5019143382297,276.2348816234701,72565.42352294922,9.617022665813696
65,439.9267762604246,1254.4187739388651,72282.4907836914,9.742492225402286
66,2506.8921850569573,2913.8720946314147,71477.79040527344,9.641834545844839
67,915.723299688506,721.6479132065854,71149.17715454102,9.577967858596113
68,3562.2079333094453,983.3520281909437,69716.48620605469,9.72715834743113
69,362.94569426206016,1590.8203118721378,68335.57830810547,9.662123775362364
70,1504.8613559216305,1183.3010253998223,67497.15649414062,9.716747199033433
71,2975.9769042287867,625.8418978628678,66459.53451538086,9.549042349840235
72,1376.4733231438586,2601.994422103208,66167.65579223633,9.665683033255261
73,1181.0132720154004,589.8376389537312,66127.23818969727,9.576763629246404
74,3277.402369006267,334.34183346254974,66085.22967529297,9.770122453364335
75,1781.4493064288984,3231.5395857082767,64960.11294555664,9.644641330194297
76,442.0220486629623,3307.926191925306,63180.77600097656,9.637656529065207
77,3081.0283178391064,552.1690644767378,60213.545471191406,9.664299242408749
78,3747.5179806065285,645.8655668925052,59112.485443115234,9.598708604833213
79,3472.2969658207753,681.8268820243554,58959.329681396484,9.831063810304174
80,1731.134256360147,774.6518942659259,57984.389892578125,9.693474579301322
81,295.0459657705469,724.5380445954426,57106.63674926758,9.60104379910063
82,2176.838925812905,3593.322981585948,56361.93359375,9.765702413399463
83,2430.2158688116087,2306.555709799144,56165.62564086914,9.47164790408168
84,331.81853033812456,450.05080543867496,55773.674865722656,9.7123157376097
85,2576.983562091049,483.95350624703934,54963.37048339844,9.465640685888495
86,1394.2169233353152,3446.350906495179,54792.295166015625,9.36107229150669
87,3705.67652169239,376.806065059258,53364.114807128906,9.554962496626446
88,971.4032019041068,1407.233130768721,53009.545654296875,9.419216349835382
89,2010.4850425710003,2883.191551012468,52596.94616699219,9.868919061511548
