time_tbjd,pdcsap_flux,pdcsap_flux_err,normalized_flux,quality,used_in_clean_mask
1325.3000357131934,nan,nan,nan,8,False
1325.3014246025107,286069.21875,61.988059997558594,0.9979030248320384,512,False
1325.3028134918275,285700.28125,59.06961441040039,0.9966160501311856,0,True
1325.3042023811433,285591.59375,59.17103576660156,0.996236912573201,0,True
1325.3055912704606,285423.65625,61.47431564331055,0.9956510916311052,0,True
1325.3069801597774,285346.59375,61.179874420166016,0.9953822724194923,0,True
1325.3083690490932,285548.03125,58.97714614868164,0.9960849523213808,0,True
1325.3097579384105,285813.5625,58.873268127441406,0.9970112121920522,0,True
1325.3111468277273,285641.1875,58.863651275634766,0.9964099117981928,0,True
1325.3125357170436,285294.71875,60.96365737915039,0.9952013154481713,0,True
1325.3139246063608,285488.4375,61.95779800415039,0.9958770698248092,0,True
1325.315313495677,285362.125,59.10625457763672,0.9954364505006649,0,True
1325.3167023845278,285303.15625,59.16123962402344,0.9952307482085668,0,True
1325.318091273845,285210.15625,61.435577392578125,0.9949063337828733,0,True
1325.3194801631619,285155.90625,60.75543212890625,0.994717092034552,0,True
1325.3208690524782,285392.8125,58.66292190551758,0.9955434985403259,0,True
1325.3222579413293,285547.9375,58.914154052734375,0.9960846252907098,0,True
1325.3236468306466,285598.71875,58.73122787475586,0.9962617669042018,0,True
1325.3250357199634,285133.09375,61.5225944519043,0.9946375145712604,0,True
1325.3264246092792,285239.1875,62.07212829589844,0.9950076042806789,0,True
1325.3278134981308,285268.15625,59.00748062133789,0.9951086567580371,0,True
1325.3292023874476,285301.0,59.14516067504883,0.9952232265031324,0,True
1325.3305912767635,285010.96875,61.65737533569336,0.9942115026170902,0,True
1325.331980165615,285040.5625,61.1574821472168,0.9943147352989221,0,True
1325.3333690549314,285251.25,58.55469512939453,0.9950496822270222,0,True
1325.3347579437818,285465.25,58.53090286254883,0.9957961842388331,0,True
1325.3361468330993,285291.5,58.599761962890625,0.9951900873951315,0,True
1325.3375357224165,285384.125,61.64113998413086,0.9955131936981407,0,True
1325.3389246112672,285328.0,62.168941497802734,0.9953174113363983,0,True
1325.340313500584,285244.6875,59.203582763671875,0.9950267900800478,0,True
1325.341702389435,285143.5,59.2130012512207,0.9946738149757482,0,True
1325.3430912787514,285065.125,61.48845672607422,0.9944004173347404,0,True
1325.3444801676026,285043.5625,61.158206939697266,0.9943252002803961,0,True
1325.345869056919,285358.28125,58.494075775146484,0.9954230422431514,0,True
1325.34725794577,285393.40625,58.86872100830078,0.9955455697345759,0,True
1325.3486468346211,285342.75,58.8772087097168,0.9953688641619787,0,True
1325.3500357239384,285123.21875,61.46449661254883,0.9946030673405751,0,True
1325.35142461279,285125.6875,62.07267761230469,0.9946116791482464,0,True
1325.3528135021058,285028.4375,59.1619873046875,0.9942724393321314,0,True
1325.354202390957,285028.78125,59.22559356689453,0.9942736384445919,0,True
1325.3555912798086,285138.5625,61.61404037475586,0.9946565913604056,0,True
1325.3569801691244,284974.5625,60.78156661987305,0.9940845057064944,0,True
1325.358369057975,285029.75,58.95670700073242,0.9942770177615263,0,True
1325.359757946827,285426.5,58.55009460449219,0.9956610115614608,0,True
1325.3611468356778,285307.59375,58.76420593261719,0.9952462276603304,0,True
1325.3625357249946,284949.5625,60.96303939819336,0.9939972975275446,0,True
1325.3639246138453,284945.40625,62.33429718017578,0.9939827991677942,0,True
1325.3653135026964,285111.15625,59.19039535522461,0.9945609893942319,0,True
1325.3667023915475,284993.90625,59.217445373535156,0.9941519830349569,0,True
1325.3680912808638,284948.53125,61.578697204589844,0.9939937001901629,0,True
1325.3694801697154,284887.21875,60.86167907714844,0.9937798221312883,0,True
1325.3708690585665,285120.90625,58.63146209716797,0.9945950005840223,0,True
1325.3722579474174,285256.6875,59.22524642944336,0.9950686500059438,0,True
1325.3736468362692,285377.53125,58.60223388671875,0.9954901925409427,0,True
1325.3750357251195,285077.375,61.1563720703125,0.9944431493424258,0,True
1325.3764246139701,285180.1875,59.11282730102539,0.9948017929783571,0,True
1325.377813502822,285002.34375,59.276145935058594,0.9941814157953525,0,True
1325.3792023916724,284962.90625,59.27253341674805,0.9940438448930591,0,True
1325.380591280523,284918.59375,61.660308837890625,0.9938892683958704,0,True
1325.3819801698403,284669.5625,61.244197845458984,0.993020565923306,0,True
1325.3833690586914,284992.40625,58.712158203125,0.99414675054422,0,True
1325.3847579475423,285137.71875,59.07343673706055,0.9946536480843661,0,True
1325.3861468363932,285163.4375,58.84196090698242,0.9947433634984607,0,True
1325.3875357247791,285047.15625,60.86273193359375,0.9943377364561201,0,True
1325.3889246136303,284871.75,62.120574951171875,0.9937258620705631,0,True
1325.3903135024805,284765.75,59.138343811035156,0.9933560993918156,0,True
1325.391702391332,284907.6875,59.2484130859375,0.9938512238278036,0,True
1325.3930912801832,284729.03125,61.81353759765625,0.993228012378983,0,True
1325.3944801690338,284645.53125,61.12327194213867,0.9929367370612904,0,True
1325.3958690578854,284973.875,58.3256721496582,0.9940821074815733,0,True
1325.3972579467359,285012.25,58.85529327392578,0.9942159720362613,0,True
1325.3986468355868,285204.03125,58.65878677368164,0.9948849677790306,512,False
1325.4000357239727,284742.9375,61.73950958251953,0.9932765219285239,0,True
1325.401424612823,284706.09375,62.24566650390625,0.9931479988747964,0,True
1325.402813501674,284888.25,59.23903274536133,0.99378341946867,0,True
1325.4042023905256,284734.0,59.233009338378906,0.9932453450045493,0,True
1325.4055912793767,284508.84375,61.56024932861328,0.9924599263428819,512,False
1325.4069801677617,284771.03125,61.232051849365234,0.9933745221196187,0,True
1325.4083690566129,285025.875,58.8033332824707,0.9942635004937891,0,True
1325.4097579454644,284942.15625,58.409637451171875,0.9939714621045307,0,True
1325.41114683385,285075.625,58.853939056396484,0.9944370447698994,0,True
1325.4125357227,285221.96875,58.85954666137695,0.9949475396474271,512,False
1325.4139246115517,284762.5,61.9615478515625,0.9933447623285522,0,True
