ID,ra,dec,Tmag,e_Tmag,GAIA,GAIAmag,gaiabp,gaiarp,pmRA,pmDEC,plx,Teff,rad,mass,d,numcont,contratio,disposition,duplicate_id,dstArcSec
1845606543,297.025067375018,18.681741422897,19.8626,0.6,1824561244758718080,20.2926,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,88.10631249561091
1845606278,297.061443486726,18.6813214880143,20.3677,0.1135,1824561107321525632,20.7287,19.8359,19.1522,-4.5668,6.50275,4.89685,nan,nan,nan,246.896,,nan,,,88.12107635264455
1845610213,297.039443662783,18.7231116934646,20.5841,0.6,1824562928386905728,21.0141,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,88.19006863370512
1845607074,297.025983499787,18.7169720843041,20.8864,0.6,1824561450919474560,21.3164,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,88.22592464397772
1845606975,297.019148995644,18.7072828293064,19.9349,0.6,1824561416558461824,20.3649,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,88.25420131326403
1845609708,297.068998669586,18.7030056205455,19.4838,0.0591,1824562687869481984,20.1803,20.4859,19.0815,-2.68331,-2.17855,0.394159,nan,nan,nan,2836.0,,nan,,,88.26841381523406
1845606329,297.036762883956,18.6752166328343,18.1154,0.0101,1824561141679473792,18.7482,19.1662,17.9117,-1.59483,-3.80321,-0.0869559,nan,nan,nan,4578.77,,nan,,,88.32883486788744
1845606357,297.034131352364,18.6760299103967,20.2367,0.0767,1824561141681684480,20.6098,20.2051,19.498,-0.503405,-2.39251,0.537194,nan,nan,nan,2816.98,,nan,,,88.3313741743916
1845606588,297.023668913492,18.68307789572,20.6575,0.6,1824561244760912128,21.0875,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,88.38807307947845
1845609710,297.067683255832,18.7077105812759,20.5815,0.6,1824562687869489408,21.0115,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,88.4102306082366
1845609692,297.06876890552,18.7043909913011,20.1454,0.6,1824562687868567168,20.5754,nan,nan,0.341286,-2.63672,0.283279,nan,nan,nan,2916.26,,nan,,,88.47197704557932
