source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star,separation_arcsec
1824561377891719424,297.04347658736737,18.698916900960853,11.476449966430664,11.589168548583984,10.843862533569336,0.7453060150146484,3.693876266479492,1.2447807312819381,0.08478542417287827,4.7182757207851145,2.9507766182102397,NOT_AVAILABLE,0,0.010633789876976458
1824561382199063936,297.04393797306136,18.70043451654701,20.04979133605957,,,,,,,,,NOT_AVAILABLE,0,5.696028817840378
1824561382199495680,297.0419426425245,18.698263672715655,20.529619216918945,19.77911949157715,19.473323822021484,0.30579566955566406,0.9800444841384888,-2.6572682775299783,0.9868646860122681,-3.9833641906820834,-6.137624547194921,NOT_AVAILABLE,0,5.728935136765066
1824561382199488640,297.0453329363639,18.698861441791767,19.211395263671875,19.31300926208496,18.18705940246582,1.1259498596191406,1.0196319818496704,0.12467720726694251,0.28367501497268677,-2.9587249497658346,-5.78163920301037,NOT_AVAILABLE,0,6.334941007643299
1824561382199064064,297.0442739076963,18.70057895692739,18.93000030517578,,,,1.1773334741592407,-0.4471955187584538,0.32099220156669617,-3.645967852892396,-5.258486095316943,NOT_AVAILABLE,0,6.582485875061068
1824561382199064192,297.0446157599103,18.70049017637493,18.20789909362793,18.32050895690918,17.042997360229492,1.2775115966796875,1.013683795928955,0.4238700560133419,0.1652267426252365,-3.5553560706373135,-7.641172734970477,NOT_AVAILABLE,0,6.877654296991964
1824561176040633088,297.04359684770037,18.696860647027275,18.302410125732422,18.774484634399414,17.490846633911133,1.2836380004882812,0.9353936910629272,0.10930702837953203,0.15438881516456604,-2.4823572115899246,-5.23072572899288,NOT_AVAILABLE,0,7.4035483335308685
1824561382199492864,297.0424640682833,18.69701520235832,20.010467529296875,20.099302291870117,19.24245262145996,0.8568496704101562,1.0053904056549072,0.14086715281356363,0.5191402435302734,-0.46817012618900167,-3.7958114620795262,NOT_AVAILABLE,0,7.657260140540427
1824561377897561216,297.0454375468067,18.7003353569477,17.520671844482422,17.925188064575195,16.74400520324707,1.181182861328125,1.0403732061386108,0.2848277350283651,0.09499727189540863,-2.661493531837257,-8.709690994200756,NOT_AVAILABLE,0,8.42155720838251
1824561382198591232,297.04166258405496,18.697305084523762,19.175785064697266,19.132524490356445,17.991907119750977,1.1406173706054688,0.9947063326835632,0.6081618204865961,0.2818942368030548,-4.56326177103777,-6.6045455130676665,NOT_AVAILABLE,0,8.472721308468932
1824561382198591104,297.0413602397155,18.697351424080267,20.575305938720703,,,,0.9080756306648254,0.675912382074701,1.1401084661483765,-3.2772777816689977,-5.5884754353451545,NOT_AVAILABLE,0,9.14855429792187
1824561176040144128,297.0457927922693,18.69700634397776,19.020877838134766,19.705366134643555,18.183359146118164,1.5220069885253906,1.0260651111602783,0.12073453930611314,0.272022008895874,-4.127128721446796,-5.7703945235326195,NOT_AVAILABLE,0,10.467925651115182
1824561176041567488,297.04495558933417,18.6962378769447,20.719593048095703,20.19038200378418,19.68212890625,0.5082530975341797,1.1530779600143433,1.1902523562692704,2.034099817276001,-2.3192012719631663,-3.8300195877430174,NOT_AVAILABLE,0,10.875243857001719
1824561382198603392,297.0402386428808,18.699230476559045,19.84004020690918,20.005483627319336,18.606821060180664,1.3986625671386719,1.015838384628296,0.722116834689514,0.5142457485198975,-1.2067392272064867,-5.246682685092228,NOT_AVAILABLE,0,11.097945074040307
1824561382199492480,297.04365444890493,18.702053273224855,20.312164306640625,20.97101402282715,19.484575271606445,1.4864387512207031,1.0166497230529785,1.262090018614743,0.7588742971420288,-4.394531794449626,-8.179665152892277,NOT_AVAILABLE,0,11.317753548576217
1824561377892708864,297.04016696263693,18.70003520384539,15.891222953796387,16.83431053161621,14.931655883789062,1.9026546478271484,0.9281127452850342,0.0990374531378977,0.03829174488782883,-1.2319490201050536,-3.966286790589911,NOT_AVAILABLE,0,11.983910273442467
1824561382200097152,297.0397584032787,18.699495950721627,20.952882766723633,,,,,,,,,NOT_AVAILABLE,0,12.848853154865747
1824561176041416448,297.04355324489126,18.695275935687718,20.94328498840332,22.159709930419922,20.467422485351562,1.6922874450683594,,,,,,NOT_AVAILABLE,0,13.099680057668275
1824561176041414784,297.04550027666573,18.69568341192075,21.1005916595459,,,,,,,,,NOT_AVAILABLE,0,13.524361775399155
1824561176041050624,297.0472353914977,18.696665007170125,19.811172485351562,21.143789291381836,18.792835235595703,2.350954055786133,1.0152297019958496,-0.425069009808007,0.4890134632587433,-0.6260581784615877,-2.787628380206627,NOT_AVAILABLE,0,15.162178061079903
1824561382198602112,297.042951661616,18.703099254184245,18.01984405517578,18.405065536499023,16.119108200073242,2.2859573364257812,,,,,,NOT_AVAILABLE,0,15.17263105143304
1824561377892702720,297.04572198284757,18.70259387285904,17.932445526123047,18.523700714111328,17.224529266357422,1.2991714477539062,0.9953731298446655,0.1075672081018802,0.1234477311372757,-4.934527115946351,-5.612864583832149,VARIABLE,0,15.302046121374254
1824561382198601984,297.0428529403036,18.703182213451647,18.081876754760742,,,,,,,,,NOT_AVAILABLE,0,15.511756544288113
1824561382199498112,297.0414189279087,18.7028216630459,20.197891235351562,20.644044876098633,19.11684226989746,1.5272026062011719,0.9596967101097107,0.06552263034859566,0.624390721321106,-1.1566863443249948,-2.303875850114589,NOT_AVAILABLE,0,15.719417699013897
1824561171761195776,297.04812585587473,18.699346631402083,18.82553482055664,19.7741756439209,17.90632438659668,1.8678512573242188,0.9900588393211365,0.34747133188377627,0.20349611341953278,-1.272611973192589,-8.349307906730992,NOT_AVAILABLE,0,15.93219920649428
1824561382199846400,297.0452316781885,18.703112523337747,21.155778884887695,,,,,,,,,NOT_AVAILABLE,0,16.25714808618843
1824561382250942592,297.0386892537295,18.69918490482044,20.306795120239258,21.085487365722656,19.661376953125,1.4241104125976562,1.0204565525054932,0.9705045775496804,0.8166176080703735,-1.098072669706502,-4.211186673678364,NOT_AVAILABLE,0,16.351799766121527
1824561382199498240,297.04174505906724,18.70316624322818,20.773813247680664,,,,1.0840187072753906,1.0788864888635223,1.969327688217163,-5.660449628492275,-6.105392651035707,NOT_AVAILABLE,0,16.406568195484518
1824561171761133696,297.0436721562149,18.694333678862947,18.939167022705078,19.427167892456055,18.017261505126953,1.4099063873291016,0.9977717995643616,0.1111419883510952,0.22006571292877197,-3.2923408994880585,-6.349129100124125,NOT_AVAILABLE,0,16.502717735817722
1824561382198598016,297.0394864685436,18.69615342967643,19.412334442138672,19.88663673400879,18.39936637878418,1.4872703552246094,1.0830483436584473,0.34035366416364876,0.334402471780777,-4.477563179815342,-7.459715831033746,NOT_AVAILABLE,0,16.847630867372807
1824561382198594944,297.04470149010876,18.703469528675985,19.839271545410156,20.58229637145996,18.9849853515625,1.597311019897461,1.006536602973938,0.3441984963190107,0.4507918953895569,-5.49228232925832,-3.1062018985423148,NOT_AVAILABLE,0,16.923933429319323
1824561377892708608,297.04240998132286,18.703710340147637,14.970178604125977,15.807075500488281,14.058448791503906,1.748626708984375,1.0154078006744385,0.27326700166702833,0.025010785087943077,-2.5580632922469766,-4.200665367029209,NOT_AVAILABLE,0,17.645305763863544
1824561382199498880,297.03992478025765,18.695323434721587,20.8388671875,21.200883865356445,20.476518630981445,0.724365234375,,,,,,NOT_AVAILABLE,0,17.7123550974825
1824561382199064448,297.04748975898156,18.70205251866581,20.122669219970703,20.669925689697266,19.595123291015625,1.0748023986816406,1.0284204483032227,0.43036816531196564,0.5646783709526062,-1.790985445147323,-2.800155297198409,NOT_AVAILABLE,0,17.747839701809024
1824561176040144768,297.0482427868839,18.701206852624857,19.972135543823242,20.781387329101562,19.436626434326172,1.3447608947753906,1.0532138347625732,-0.9534311701158097,0.5193201303482056,-2.561323217803447,-5.034788937444304,NOT_AVAILABLE,0,18.230271277542993
