measured_star,separation_from_measured_position_arcsec,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star
C8,6.3870415967,1824558324223103744,297.1730426413,18.6330238484,20.5628852844,21.2745895386,19.7630138397,1.5115756989,0.8795175552,0.3189589238,1.1920744181,-2.4572629559,-4.1807795642,NOT_AVAILABLE,0
C8,6.5930715761,1824558392901740672,297.1728403904,18.6359697140,18.9221992493,19.0893974304,17.8525886536,1.2368087769,1.0359942913,0.5252009011,0.2638163269,-3.1168997039,-5.2330034475,NOT_AVAILABLE,0
C8,8.2356974695,1824558392901967104,297.1719821356,18.6366791934,20.6280117035,21.2777118683,19.4272232056,1.8504886627,0.9989581108,-0.7826417070,1.3894566298,-0.3990285395,-3.3463207438,NOT_AVAILABLE,0
C8,8.9224876116,1824558319874258432,297.1698412811,18.6328120024,18.5954895020,19.3267803192,17.4698963165,1.8568840027,1.0089114904,0.8728650554,0.1899289191,-5.0906417978,-6.8608356653,NOT_AVAILABLE,0
C8,11.2884063428,1824558221102051712,297.1694455155,18.6322445126,17.4409847260,17.9828414917,16.6959438324,1.2868976593,0.9895518422,0.1788550834,0.0913343057,-3.3004616150,-7.3645248533,NOT_AVAILABLE,0
C9,0.7360095563,1824557186003644032,297.0259437293,18.5947735134,11.7012739182,12.0591659546,11.1771068573,0.8820590973,2.1562700272,3.0608532032,0.0391868055,19.5525273861,-11.7791557923,NOT_AVAILABLE,0
C9,1.1380791769,1824557190351249536,297.0264032966,18.5949441423,17.7677879333,,,,,,,,,NOT_AVAILABLE,0
C9,3.0694230132,1824557190351820544,297.0265012726,18.5939459327,20.5605525970,,,,,,,,,NOT_AVAILABLE,0
C9,6.2669951156,1824557190309474816,297.0243479042,18.5944222857,19.6048774719,19.7709522247,18.1654167175,1.6055355072,0.9687306285,1.3564293771,0.3766942620,1.6499867582,1.5547231308,NOT_AVAILABLE,0
C9,6.3546529598,1824557190311761024,297.0275788870,18.5935949684,21.2089672089,20.5147266388,20.0343685150,0.4803581238,,,,,,NOT_AVAILABLE,0
C9,7.9008813824,1824557190310973056,297.0260896011,18.5969267180,20.2531929016,20.7278652191,19.1998157501,1.5280494690,0.9527316689,-0.2872483015,0.6467148662,-1.8512722881,-5.3392471702,NOT_AVAILABLE,0
C9,8.4163869971,1824557190311982720,297.0283480726,18.5936625356,21.0018901825,21.4020061493,20.9821586609,0.4198474884,,,,,,NOT_AVAILABLE,0
C9,8.7641321940,1824557190311764864,297.0238268974,18.5937047385,20.9928359985,21.3702907562,19.7226142883,1.6476764679,,,,,,NOT_AVAILABLE,0
C9,9.2766152508,1824557190311059456,297.0243078723,18.5966235957,20.7273159027,20.7593116760,19.8921127319,0.8671989441,,,,,,NOT_AVAILABLE,0
C9,9.7905624970,1824557190309462400,297.0289337509,18.5954115900,19.0017890930,19.2461128235,17.7273979187,1.5187149048,,,,,,NOT_AVAILABLE,0
C9,9.8586502729,1824557186031272832,297.0289401638,18.5954621482,19.0376148224,19.2783832550,17.7364597321,1.5419235229,,,,,,NOT_AVAILABLE,0
C9,10.2532084118,1824557190351246080,297.0280734809,18.5925406812,18.6860027313,19.2822017670,17.9428901672,1.3393115997,0.9925049543,0.6173320926,0.1937812716,-2.4794349684,-2.3903501193,NOT_AVAILABLE,0
C9,10.3661706298,1824557190309474688,297.0236366541,18.5931224485,19.0862770081,19.2358551025,18.0308780670,1.2049770355,1.2468565702,0.8412932600,0.3179696798,-3.9743180885,-6.6553805529,NOT_AVAILABLE,0
C9,10.7575096820,1824557190311093120,297.0232265092,18.5958395192,20.9660148621,23.0048866272,19.8874645233,3.1174221039,,,,,,NOT_AVAILABLE,0
C9,11.1569667828,1824557190309462656,297.0265309610,18.5916542891,20.1536216736,20.9169673920,19.4277458191,1.4892215729,1.0379310846,-1.3971173691,0.6682206392,-0.6704646763,-3.6932292104,NOT_AVAILABLE,0
C9,11.6914484601,1824557190311389440,297.0289975773,18.5929193341,20.7229156494,21.4132308960,19.9975719452,1.4156589508,1.1192761660,1.8191748132,1.2951847315,-1.6422978446,-3.5540086074,NOT_AVAILABLE,0
T1,0.6738484880,1824561377891719424,297.0434765874,18.6989169010,11.4764499664,11.5891685486,10.8438625336,0.7453060150,3.6938762665,1.2447807313,0.0847854242,4.7182757208,2.9507766182,NOT_AVAILABLE,0
T1,5.6564040932,1824561382199063936,297.0439379731,18.7004345165,20.0497913361,,,,,,,,,NOT_AVAILABLE,0
T1,5.6674765854,1824561382199488640,297.0453329364,18.6988614418,19.2113952637,19.3130092621,18.1870594025,1.1259498596,1.0196319818,0.1246772073,0.2836750150,-2.9587249498,-5.7816392030,NOT_AVAILABLE,0
T1,6.3025227567,1824561382199495680,297.0419426425,18.6982636727,20.5296192169,19.7791194916,19.4733238220,0.3057956696,0.9800444841,-2.6572682775,0.9868646860,-3.9833641907,-6.1376245472,NOT_AVAILABLE,0
T1,6.4396013739,1824561382199064064,297.0442739077,18.7005789569,18.9300003052,,,,1.1773334742,-0.4471955188,0.3209922016,-3.6459678529,-5.2584860953,NOT_AVAILABLE,0
T1,6.6197456355,1824561382199064192,297.0446157599,18.7004901764,18.2078990936,18.3205089569,17.0429973602,1.2775115967,1.0136837959,0.4238700560,0.1652267426,-3.5553560706,-7.6411727350,NOT_AVAILABLE,0
T1,7.2876207345,1824561176040633088,297.0435968477,18.6968606470,18.3024101257,18.7744846344,17.4908466339,1.2836380005,0.9353936911,0.1093070284,0.1543888152,-2.4823572116,-5.2307257290,NOT_AVAILABLE,0
T1,7.8861130422,1824561382199492864,297.0424640683,18.6970152024,20.0104675293,20.0993022919,19.2424526215,0.8568496704,1.0053904057,0.1408671528,0.5191402435,-0.4681701262,-3.7958114621,NOT_AVAILABLE,0
T1,7.9744613860,1824561377897561216,297.0454375468,18.7003353569,17.5206718445,17.9251880646,16.7440052032,1.1811828613,1.0403732061,0.2848277350,0.0949972719,-2.6614935318,-8.7096909942,NOT_AVAILABLE,0
T1,8.8998568539,1824561382198591232,297.0416625841,18.6973050845,19.1757850647,19.1325244904,17.9919071198,1.1406173706,0.9947063327,0.6081618205,0.2818942368,-4.5632617710,-6.6045455131,NOT_AVAILABLE,0
T1,9.6189637743,1824561382198591104,297.0413602397,18.6973514241,20.5753059387,,,,0.9080756307,0.6759123821,1.1401084661,-3.2772777817,-5.5884754353,NOT_AVAILABLE,0
T1,9.9008135602,1824561176040144128,297.0457927923,18.6970063440,19.0208778381,19.7053661346,18.1833591461,1.5220069885,1.0260651112,0.1207345393,0.2720220089,-4.1271287214,-5.7703945235,NOT_AVAILABLE,0
T1,10.4840576342,1824561176041567488,297.0449555893,18.6962378769,20.7195930481,20.1903820038,19.6821289062,0.5082530975,1.1530779600,1.1902523563,2.0340998173,-2.3192012720,-3.8300195877,NOT_AVAILABLE,0
T1,11.4103716394,1824561382199492480,297.0436544489,18.7020532732,20.3121643066,20.9710140228,19.4845752716,1.4864387512,1.0166497231,1.2620900186,0.7588742971,-4.3945317944,-8.1796651529,NOT_AVAILABLE,0
T1,11.7708813796,1824561382198603392,297.0402386429,18.6992304766,19.8400402069,20.0054836273,18.6068210602,1.3986625671,1.0158383846,0.7221168347,0.5142457485,-1.2067392272,-5.2466826851,NOT_AVAILABLE,0
