sector,events,anchor_cycle,anchor_bjd_tdb,formal_error_days,empirical_error_days,adopted_error_days,error_source
14,4,-377.1703353112758,2458694.018451174,0.003436449801737583,0.00581098452356599,0.00581098452356599,empirical within-sector scatter
41,8,-124.11441694906166,2459431.720229344,0.0018936630717741733,0.0019362632160963055,0.0019362632160963055,empirical within-sector scatter
54,9,-4.324967381779576,2459780.923512915,0.001125765270724408,0.001798205617014332,0.001798205617014332,empirical within-sector scatter
81,6,248.5351108323048,2460518.0482568694,0.0011714563556895455,0.001255318985537536,0.001255318985537536,empirical within-sector scatter
