minimum_depth_snr,events,period_days,period_error_days,period_shift_days,period_shift_seconds_per_orbit,reduced_chi2
2.5,27,2.915151567101256,4.871979253258935e-06,0.0,0.0,1.3010946851778735
3.0,26,2.9151515154632115,4.989734995400073e-06,-5.163804450702969e-08,-0.004461527045407365,1.3545019714854025
4.0,23,2.9151511858550188,5.207329590125144e-06,-3.812462372465575e-07,-0.03293967489810257,1.311534505928253
