omitted_sector,events,period_days,period_error_days,period_shift_days,period_shift_seconds_per_orbit,shift_in_primary_formal_sigma,reduced_chi2
14,23,2.9151474342667942,5.5082634932847605e-06,-4.132834461767487e-06,-0.3570768974967109,-0.8482865478138021,1.1511014425762283
41,19,2.9151535399652215,5.939863683391007e-06,1.972863965526983e-06,0.17045544662153134,0.40494096197296137,1.5462654937187772
54,18,2.915152164345941,4.9537842195521566e-06,5.972446848190316e-07,0.05160194076836433,0.12258769049961088,1.2109537656576423
81,21,2.9151592382897014,1.0607916725239512e-05,7.671188445357302e-06,0.6627906816788709,1.574552773439242,1.3635627520214142
