sequence,source_archive,source_member,source_crc32,output_file,output_relative_path,output_size_bytes,status,date_obs,bjd_tdb,airmass,ccd_temp_c,exposure_s,filter,object,has_wcs,raw_saturation_fraction_sampled,calibrated_negative_fraction_sampled,elapsed_seconds,raw_mean,raw_median,raw_mad,raw_p01,raw_p99,raw_min,raw_max,raw_finite_fraction,calibrated_mean,calibrated_median,calibrated_mad,calibrated_p01,calibrated_p99,calibrated_min,calibrated_max,calibrated_finite_fraction,z_calibrated_median,z_calibrated_mad,z_calibrated_p99,z_calibrated_negative_fraction_sampled,qa_flag,qa_reasons
270,TOI_3505.01-20260714T190730Z-1-002.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0270.fits,8bcb42c4,TOI_3505.01_50.000s_R-0270_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0270_out.fits,67115520,resumed-existing,2022-07-22T07:05:37.30,2459782.801166833,1.2111004596935746,-20.40625,50.0,Red,TOI_3505.01,False,,0.0,0.2946462079999037,,,,,,,,,915.0526984872704,905.3477478027344,39.613761694335935,818.1101446533203,1033.381561279297,67.98200225830078,49308.0859375,1.0,6.027856247113212,2.3029134292221536,3.6598293682979848,-0.6744907594765952,True,background_level_outlier
282,TOI_3505.01-20260714T190730Z-1-002.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0282.fits,0aa937ae,TOI_3505.01_50.000s_R-0282_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0282_out.fits,67115520,resumed-existing,2022-07-22T07:58:32.42,2459782.8379090712,1.3908951291758624,-20.375,50.0,Red,TOI_3505.01,False,,0.0,0.13763945800019428,,,,,,,,,2056.4292275677435,2051.9468994140625,65.53410527343749,1917.3758435058594,2203.9786279296877,1787.0711669921875,4521.84326171875,1.0,21.91030044740271,9.517143132497639,20.024271891062604,-0.6744907594765952,True,background_level_outlier;image_scatter_outlier;bright_level_outlier
283,TOI_3505.01-20260714T190730Z-1-002.zip,TOI_3505.01/TOI_3505.01_50.000s_R-0283.fits,ea942ce4,TOI_3505.01_50.000s_R-0283_out.fits,data/ground/toi3505/reduced/TOI_3505.01_50.000s_R-0283_out.fits,67115520,resumed-existing,2022-07-22T07:59:37.42,2459782.8386683143,1.3957851813369386,-20.34375,50.0,Red,TOI_3505.01,False,0.0,0.0,0.23061391599912895,3132.452568054199,3141.0,97.85159999999999,2870.43,3327.0,1288.0,14944.0,1.0,2107.7601975235157,2103.4019775390625,66.54561057128906,1966.7722778320312,2256.1858203125003,1807.193359375,4362.73681640625,1.0,22.62304509403304,9.798668396331902,20.754105941875757,-0.6744907594765952,True,background_level_outlier;image_scatter_outlier;bright_level_outlier
